"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Screening of Fungi for the Application of Self-Healing Concrete","https://scispace.com/paper/http://arxiv.org/abs/1711.10386v6","2017","Preprint","","Rakenth R. Menon
Jing Luo
Xiaobo Chen
Hui Zhou
Zhiyong Liu
Guangwen Zhou
Ning Zhang
Congrui Jin","","https://arxiv.org/pdf/1711.10386v6","Concrete is susceptible to cracking owing to drying shrinkage, freeze-thaw cycles, delayed ettringite formation, reinforcement corrosion, creep and fatigue, etc. Since maintenance and inspection of concrete infrastructure require onerous labor and high costs, self-healing of harmful cracks without human interference or intervention could be of great attraction. The goal of this study is to explore a new self-healing approach in which fungi are used as a self-healing agent to promote calcium carbonate precipitation to fill the cracks in concrete structures. Recent research results in the field of geomycology have shown that many species of fungi could play an important role in promoting calcium carbonate mineralization, but their application in self-healing concrete has not been reported. Therefore, a screening of different species of fungi has been conducted in this study. Our results showed that, despite the drastic pH increase owing to the leaching of calcium hydroxide from concrete, Aspergillus nidulans (MAD1445), a pH regulatory mutant, could grow on concrete plates and promote calcium carbonate precipitation."
"Self-healing unitarity is an optical illusion","https://scispace.com/paper/http://arxiv.org/abs/2307.04127v2","2023","Preprint","","Archit Vidyarthi","10.1103/PhysRevD.109.016020","https://arxiv.org/pdf/2307.04127v2","Among the vast variety of proposals put forward by the community to resolve tree-level unitarity violations in Higgs inflation models, there exists the concept of self-healing. It heals the theory from supposed tree-level violations for elastic scattering processes by summing over successive vacuum polarization loop corrections. In this work, we examine this technique to check whether unitarity is indeed restored and find that there exist underlying constraints in self-healing unitarity that pose the same perturbative unitarity bounds that it was expected to heal."
"Collusion resistant self-healing key distribution in mobile wireless networks","https://scispace.com/paper/http://arxiv.org/abs/1206.6285v1","2012","Preprint","","Ratna Dutta
Sugata Sanyal","","https://arxiv.org/pdf/1206.6285v1","A fundamental concern of any secure group communication system is key management and wireless environments create new challenges. One core requirement in these emerging networks is self-healing. In systems where users can be offline and miss updates, self-healing allows a user to recover lost session keys and get back into the secure communication without putting extra burden on the group manager. Clearly, self-healing must only be available to authorized users. This paper fixes the problem of collusion attack in an existing self-healing key distribution scheme and provides a highly efficient scheme as compared to the existing works. It is computationally secure, resists collusion attacks made between newly joined users and revoked users and achieves forward and backward secrecy. Our security analysis is in an appropriate security model. Unlike the existing constructions, our scheme does not forbid revoked users from rejoining in later sessions."
"Self-Healing First-Order Distributed Optimization","https://scispace.com/paper/http://arxiv.org/abs/2104.01959v2","2021","Preprint","","Israel L. Donato Ridgley
Randy A. Freeman
Kevin M. Lynch","10.1109/CDC45484.2021.9683487","https://arxiv.org/pdf/2104.01959v2","In this paper we describe a parameterized family of first-order distributed optimization algorithms that enable a network of agents to collaboratively calculate a decision variable that minimizes the sum of cost functions at each agent. These algorithms are self-healing in that their correctness is guaranteed even if they are initialized randomly, agents drop in or out of the network, local cost functions change, or communication packets are dropped. Our algorithms are the first single-Laplacian methods to exhibit all of these characteristics. We achieve self-healing by sacrificing internal stability, a fundamental trade-off for single-Laplacian methods."
"Percolation Modeling of Conductance of Self-Healing Composites","https://scispace.com/paper/http://arxiv.org/abs/0704.0935v2","2007","Preprint","","Alexander Dementsov
Vladimir Privman","10.1016/j.physa.2007.07.025","https://arxiv.org/pdf/0704.0935v2","We explore the conductance of self-healing materials as a measure of the material integrity in the regime of the onset of the initial fatigue. Continuum effective-field modeling and lattice numerical simulations are reported. Our results illustrate the general features of the self-healing process: The onset of the material fatigue is delayed, by developing a plateau-like time-dependence of the material quality. We demonstrate that in this low-damage regime, the changes in the conductance and similar transport/response properties of the material can be used as measures of the material quality degradation."
"A self-healing tactile sensor using an optical waveguide","https://scispace.com/paper/http://arxiv.org/abs/2411.05159v1","2024","Preprint","","Seiichi Yamamoto
Hiroki Ishizuka
Sei Ikeda
Osamu Oshiro","","https://arxiv.org/pdf/2411.05159v1","We propose an optical tactile sensor using self-healing materials. The proposed tactile sensor consists of a structure that includes a diode, a phototransistor, and an optical waveguide made from self-healing materials. This design offers the advantage of being less susceptible to electromagnetic noise compared to traditional tactile sensors based on electrical detection principles. The sensor estimates the applied force by detecting changes in the total internal reflection caused by deformation due to contact force. In this study, we first established a fabrication method for the optical waveguide-based tactile sensor using self-healing materials. Subsequently, we measured the sensor output when a static load was applied to the fabricated tactile sensor and evaluated its characteristics. The results confirmed that the sensor output decreases in response to the applied load."
"Angular-spectrum-based analysis on the self-healing effect of Laguerre-Gaussian beams after an obstacle","https://scispace.com/paper/http://arxiv.org/abs/1906.08474v1","2019","Preprint","","Jian-Dong Zhang
Zi-Jing Zhang
Jun-Yan Hu
Long-Zhu Cen
Yi-Fei Sun
Chen-Fei Jin
Yuan Zhao","","https://arxiv.org/pdf/1906.08474v1","Self-healing, as an exotic effect, has showed many potential applications. In this paper, we focus on the self-healing effect of Laguerre-Gaussian beams after an obstacle. By taking advantage of angular spectrum theory, we study self-healing limit of the beam against on-axis obstacle. The dependence of self-healing capability on the radius of obstacle is analyzed. Additionally, we briefly discuss the self-healing limit of the beam in an off-axis scenario. Our results indicate that field amplitude of the beam will be healed well when the obstacle is approximately on-axis without oversized radius, perhaps providing advantages for optical communication, imaging, and remote sensing systems."
"Nonadiabatic Self-Healing of Trotter Errors in Digitized Counterdiabatic Dynamics","https://scispace.com/paper/http://arxiv.org/abs/2512.22636v1","2025","Preprint","","Mara Vizzuso
Gianluca Passarelli
Giovanni Cantele
Procolo Lucignano
Xi Chen
Koushik Paul","","https://arxiv.org/pdf/2512.22636v1","Trotter errors in digitized quantum dynamics arise from approximating time-ordered evolution under noncommuting Hamiltonian terms with a product formula. In the adiabatic regime, such errors are known to exhibit long-time self-healing [Phys. Rev. Lett. \textbf{131}, 060602 (2023)], where discretization effects are effectively suppressed. Here we show that self-healing persists at finite evolution times once nonadiabatic errors induced by finite-speed ramps are compensated. Using counterdiabatic driving to cancel diabatic transitions and isolate discretization effects, we study both noninteracting and interacting spin models and characterize the finite-time scaling with the Trotter steps and the total evolution time. In the instantaneous eigenbasis of the driven Hamiltonian, the leading digital error maps to an effective harmonic perturbation whose dominant Fourier component yields an analytic upper bound on the finite-time Trotter error and reveals the phase-cancellation mechanism underlying self-healing. Our results establish finite-time self-healing as a generic feature of digitized counterdiabatic protocols, clarify its mechanism beyond the long-time adiabatic limit, and provide practical guidance for high-fidelity state preparation on gate-based quantum processors."
"Self-Healing by Means of Runtime Execution Profiling","https://scispace.com/paper/http://arxiv.org/abs/1203.5748v1","2012","Preprint","","Mohammad Muztaba Fuad
Debzani Deb
Jinsuk Baek","10.1109/ICCITechn.2011.6164784","https://arxiv.org/pdf/1203.5748v1","A self-healing application brings itself into a stable state after a failure put the software into an unstable state. For such self-healing software application, finding fix for a previously unseen fault is a grand challenge. Asking the user to provide fixes for every fault is bad for productivity, especially when the users are non-savvy in technical aspect of computing. If failure scenarios come into existence, the user wants the runtime environment to handle those situations autonomically. This paper presents a new technique of finding self-healing actions by matching a fault scenario to already established fault models. By profiling and capturing runtime parameters and execution pathWays, stable execution models are established and later are used to match with an unstable execution scenario. Experimentation and results are presented that showed that even with additional overheads; this technique can prove beneficial for autonomically healing faults and reliving system administrators from mundane troubleshooting situations."
"Inducing mechanical self-healing in glassy polymer melts","https://scispace.com/paper/http://arxiv.org/abs/2404.11787v1","2024","Preprint","","José Ruiz-Franco
Andrea Giuntoli","","https://arxiv.org/pdf/2404.11787v1","Glassy polymer melts such as the plastics used in pipes, structural materials, and medical devices are ubiquitous in daily life. They accumulate damage over time due to their use, which limits their functionalities and demands periodic replacement. The resulting economic and social burden could be mitigated by the design of self-healing mechanisms that expand the lifespan of materials. However, the characteristic low molecular mobility in glassy polymer melts intrinsically limits the design of self-healing behavior. We demonstrate through numerical simulations that controlled oscillatory deformations enhance the local molecular mobility of glassy polymers without compromising their structural or mechanical stability. We apply this principle to increase the molecular mobility around the surface of a crack, inducing fracture repair and recovering the mechanical properties of the pristine material. Our findings establish a general physical mechanism of self-healing in glasses that may inspire the design and processing of new glassy materials."
