"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Pipeline Infrastructure Required to Meet the Requirements on AI","https://scispace.com/paper/pipeline-infrastructure-required-to-meet-the-requirements-on-1f5awrgy","2023","Journal Article","IEEE Software","Markus Borg","10.1109/ms.2022.3211687","","The theme of this issue is infrastructure as code (IaC). This concept typically refers to the application of software engineering practices in managing deployment infrastructure. Moving from physical hardware to virtual machines using configuration files that are way more flexible—and they can be version controlled and distributed. As such, IaC paves the way for automation and DevOps. This column touches upon similar topics: pipeline infrastructure to meet regulatory requirements on trustworthy AI solutions. ","In this article , the authors discuss the use of infrastructure as code (IaC) in managing deployment infrastructure, i.e., moving from physical hardware to virtual machines using configuration files that are way more flexible and can be version controlled and distributed."
"Demystifying infrastructure automation: Evolving from scripts to self-healing systems","https://scispace.com/paper/demystifying-infrastructure-automation-evolving-from-scripts-1bdyyexosazn","2025","Journal Article","World Journal Of Advanced Research and Reviews","Mahipal Reddy Yalla","10.30574/wjarr.2025.26.2.1987","","Infrastructure automation has undergone a revolutionary transformation from rudimentary scripting tools to sophisticated AI-driven platforms, fundamentally reshaping enterprise IT operations and competitive dynamics. This evolution began with basic automation scripts in the 1990s, which offered limited coverage and required extensive maintenance, before progressing through several distinct technological epochs. The emergence of configuration management platforms between 2005-2012 introduced the transformative ""infrastructure as code"" paradigm, enabling version-controlled deployments and reducing configuration drift by over 80%. Cloud orchestration and containerization subsequently accelerated this progression, with enterprises achieving deployment time reductions exceeding 94% and dramatic improvements in operational efficiency. The integration of artificial intelligence represents the latest evolutionary stage, with AIOps platforms detecting anomalies before conventional tools and autonomously resolving routine incidents with exceptional accuracy. Beyond technical benefits, these advancements deliver substantial business value, including accelerated time-to-market, dramatically reduced operational costs, enhanced resilience, improved scalability, and optimized talent utilization. Organizations leveraging advanced automation demonstrate significantly higher profit margins, market share growth, and innovation throughput compared to traditional counterparts. As infrastructure environments continue to increase in complexity and scale, AI-driven automation has become not merely a technological advancement but a strategic business imperative essential for maintaining competitive advantages in rapidly evolving digital markets. ","Infrastructure automation has evolved from basic scripting to AI-driven platforms, transforming enterprise IT operations with significant technical and business benefits, including accelerated time-to-market, reduced costs, and improved scalability, making AI-driven automation a strategic business imperative."
"Infrastructure as Code (IaC) in Cloud Migration: Enhancing Automation, Security and Scalability in AWS","https://scispace.com/paper/infrastructure-as-code-iac-in-cloud-migration-enhancing-rmpazk5bxp0t","2025","Journal Article","World Journal Of Advanced Research and Reviews","S. Challa","10.30574/wjarr.2025.26.2.1989","","This article examines the strategic implementation of Infrastructure as Code (IaC) methodologies in enterprise AWS cloud migrations, demonstrating how organizations can enhance automation, security, and scalability throughout their infrastructure lifecycle. Through analysis of implementation patterns across diverse industry sectors, the article identifies critical success factors for effective IaC adoption, including standardization through Git-based repositories, embedding security controls directly in templates, integration with CI/CD pipelines, and implementation of resilient scaling and disaster recovery mechanisms. The article combines qualitative assessment of organizational practices with quantitative metrics analysis to provide a comprehensive evaluation of IaC benefits, challenges, and emerging trends. The article reveals that organizations implementing mature IaC approaches achieve substantial improvements in deployment efficiency, configuration consistency, security posture, and operational costs while establishing foundations for future automation capabilities. The article further explores emerging technologies including AI-assisted template generation, automated drift detection, policy-as-code frameworks, and predictive scaling algorithms that represent the evolving frontier of infrastructure automation. These insights provide technology leaders with actionable guidance for implementing IaC as a strategic capability that aligns infrastructure management with broader digital transformation objectives while maintaining the governance and compliance requirements essential in enterprise environments. ","This article examines IaC adoption in AWS cloud migrations, identifying critical success factors and benefits, including automation, security, and scalability enhancements, and emerging trends such as AI-assisted template generation and predictive scaling algorithms."
"Infrastructure as code for dynamic deployments","https://scispace.com/paper/infrastructure-as-code-for-dynamic-deployments-1dkms5jq","2022","Proceedings Article","Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering","Daniel Sokolowski","10.1145/3540250.3558912","https://scispace.com/pdf/infrastructure-as-code-for-dynamic-deployments-1dkms5jq.pdf","Modern DevOps organizations require a high degree of automation to achieve software stability at frequent changes. Further, there is a need for flexible, timely reconfiguration of the infrastructure, e.g., to use pay-per-use infrastructure efficiently based on application load. Infrastructure as Code (IaC) is the DevOps tool to automate infrastructure. However, modern static IaC solutions only support infrastructures that are deployed and do not change afterward. To implement infrastructures that change dynamically over time, static IaC programs have to be (updated and) re-run, e.g., in a CI/CD pipeline, or configure an external orchestrator that implements the dynamic behavior, e.g., an autoscaler or Kubernetes operator. Both do not capture the dynamic behavior in the IaC program and prevent analyzing and testing the infrastructure configuration jointly with its dynamic behavior. To fill this gap, we envision dynamic IaC, which augments static IaC with the ability to define dynamic behavior within the IaC program. In contrast to static IaC programs, dynamic IaC programs run continuously. They re-evaluate program parts that depend on external signals when these change and automatically adjust the infrastructure accordingly. We implement DIaC as the first dynamic IaC solution and demonstrate it in two realistic use cases of broader relevance. With dynamic IaC, ensuring the program’s correctness is even harder than for static IaC because programs may define many target configurations in contrast to only a few. However, for this reason, it is also more critical. To solve this issue, we propose automated, specialized property-based testing for IaC programs and implement it in ProTI.","In this paper , the authors propose a dynamic infrastructure as code (DIaC) solution, which augments static IaaC with the ability to define dynamic behavior within the IaC program."
"PipeConf: An Integrated Architecture for the Automated Configuration of Network Assets","https://scispace.com/paper/pipeconf-an-integrated-architecture-for-the-automated-1oqi6b3h","2022","Journal Article","IEEE Transactions on Network and Service Management","Aecio Pires
Fernando B. Matos
Aldri Santos
Diego Pessoa
Paulo Ditarso Maciel","10.1109/TNSM.2022.3195382","","The manual management of network assets is susceptible to configuration errors, lack of standardization, a large amount of repetitive work, and little or no traceability of changes over time. The Infrastructure as Code (IaC) approach makes it possible to automate the process of configuring resources such as operating systems, network services, containers, and applications, by treating them as software and allowing standardization and configuration rollback. This paper proposes an integrated architecture based on different software tools that use the IaC approach to automate the configuration of network assets, considering different models and manufacturers. A quantitative analysis shows the architecture’s efficiency in response time and scalability. The architecture has achieved a proportional gain of 83% in the average response time to manage 128 assets, with no significant increase in processing and memory usage.","This paper proposes an integrated architecture based on different software tools that use the IaC approach to automate the configuration of network assets, considering different models and manufacturers and achieves a proportional gain in the average response time."
"PipeConf: An Integrated Architecture for the Automated Configuration of Network Assets","https://scispace.com/paper/pipeconf-an-integrated-architecture-for-the-automated-k7iopyq7","2022","Journal Article","IEEE Transactions on Network and Service Management","","10.1109/tnsm.2022.3195382","","The manual management of network assets is susceptible to configuration errors, lack of standardization, a large amount of repetitive work, and little or no traceability of changes over time. The Infrastructure as Code (IaC) approach makes it possible to automate the process of configuring resources such as operating systems, network services, containers, and applications, by treating them as software and allowing standardization and configuration rollback. This paper proposes an integrated architecture based on different software tools that use the IaC approach to automate the configuration of network assets, considering different models and manufacturers. A quantitative analysis shows the architecture’s efficiency in response time and scalability. The architecture has achieved a proportional gain of 83% in the average response time to manage 128 assets, with no significant increase in processing and memory usage. ","In this paper , the authors propose an integrated architecture based on different software tools that use the Infrastructure as Code (IaC) approach to automate the configuration of network assets, considering different models and manufacturers."
"Resolving configuration drift for computing resource stacks","https://scispace.com/paper/resolving-configuration-drift-for-computing-resource-stacks-33ouczq8r0","2020","Patent","","Hussain Amjad
Kumar Anil
Lohan Ryan John
Chakravarthy Diwakar
Lins Julio Cesar Dos Santos
Nakkeeran Prabhu Anand","","","This disclosure describes techniques for resolving discrepancies that occur to interrelated computing resources from computing resource drift. Users may describe computing resources in an infrastructure template. However, computing resource drift occurs when “out-of-band” modifications are made to the computing resources and are not reflected in the infrastructure template. To resolve discrepancies between the infrastructure template and the out-of-band modifications to the computing resources, a notification may be output to a user account associated with the computing resources detailing the differences. An updated infrastructure template may be received that resolves the differences, such as by including configuration settings that reflect a current state of the computing resources. The computing resources may then execute a workflow using the updated template, such that the workflow is executed on all of the computing resources in a current state.","In this article, the authors describe techniques for resolving discrepancies that occur to interrelated computing resources from computing resource drift, such as when out-of-band modifications are made to the computing resources and are not reflected in the infrastructure template."
"Adoption, Support, and Challenges of Infrastructure-as-Code: Insights from Industry","https://scispace.com/paper/adoption-support-and-challenges-of-infrastructure-as-code-596hu955ap","2019","Proceedings Article","International Conference on Software Maintenance","Michele Guerriero
Martin Garriga
Damian A. Tamburri
Fabio Palomba","10.1109/ICSME.2019.00092","","Infrastructure-as-code (IaC) is the DevOps tactic of managing and provisioning infrastructure through machine-readable definition files, rather than physical hardware configuration or interactive configuration tools. From a maintenance and evolution perspective, the topic has picked the interest of practitioners and academics alike, given the relative scarcity of supporting patterns, best practices, tools, and software engineering techniques. Using the data coming from 44 semistructured interviews to senior developers of as many companies, in this paper we shed light on the state of the practice in the adoption of IaC and the key software engineering challenges in the field. Particularly, we investigate (i) how practitioners adopt and develop IaC, (ii) which support is currently available, i.e., the typically used tools and their advantages/disadvantages, and (iii) what are the practitioner's needs when dealing with IaC development, maintenance, and evolution. Our findings clearly highlight the need for more research in the field: the support provided by currently available tools is still limited, and developers feel the need of novel techniques for testing and maintaining IaC code.","The findings clearly highlight the need for more research in the field: the support provided by currently available tools is still limited, and developers feel the need of novel techniques for testing and maintaining IaC code."
"Автоматизація міграції програмного забезпечення у хмарну архітектуру із використанням інструменту інфраструктури як код Terraform у середовищі AWS","https://scispace.com/paper/avtomatizatsiia-migratsiyi-programnogo-zabezpechennia-u-4rjrc04t7fnn","2024","Journal Article","Komp'ûterno-ìntegrovanì tehnologìï: osvìta, nauka, virobnictvo","S. Behlitsov","10.36910/6775-2524-0560-2024-56-12","","У цій статті розглядається комплексний підхід до автоматизації надання інфраструктури за допомогою Terraform і AWS. Основною метою цього дослідження було оптимізувати розгортання та керування хмарними ресурсами за допомогою практик інфраструктури як коду (IaC). Стаття починається з пояснення фундаментальних принципів інфраструктури як коду, підкреслюючи її переваги з точки зору послідовності, повторюваності та співпраці. Центральне місце в цій методології займає Terraform, інструмент із відкритим кодом, розроблений для декларативного керування конфігурацією. Здатність Terraform визначати компоненти інфраструктури за допомогою простих, зрозумілих для людини файлів конфігурації забезпечує потужний механізм для надання та керування хмарними ресурсами в різних провайдерів. Ключовим моментом реалізації є використання AWS як хмарного провайдера. AWS пропонує широкий спектр послуг, від обчислювальних екземплярів (EC2) до керованих баз даних (RDS) і безсерверних обчислень (Lambda). У статті розглядаються конкретні випадки використання, коли Terraform використовується для автоматизації надання ресурсів AWS, таких як екземпляри EC2 для масштабованих веб-додатків, бакети S3 для зберігання об’єктів і конфігурації VPC для ізоляції мережі. Важливим аспектом, який обговорюється в статті, є керування станом Terraform, який відстежує поточний стан розгорнутих ресурсів і полегшує співпрацю між членами команди. Стратегії обробки файлів стану, включно з конфігураціями віддаленої серверної частини за допомогою Amazon S3 для блокування, вивчаються, щоб забезпечити узгодженість і уникнути конфліктів під час одночасного розгортання. Крім того, стаття стосується модулів Terraform, які інкапсулюють багаторазові конфігурації для різних компонентів інфраструктури, сприяючи багаторазовому використанню коду та зручності обслуговування. Завдяки модульній конфігурації команди можуть стандартизувати найкращі практики та застосовувати політики в різних середовищах, від розробки до виробництва. Інтеграція Terraform з конвеєрами CI/CD автоматизує тестування та розгортання змін інфраструктури, сприяючи гнучкості та зменшуючи ручне втручання. Ця автоматизація не тільки прискорює доставку оновлень інфраструктури, але й підвищує загальну надійність системи за допомогою автоматизованого тестування та механізмів відкату. ","This study explores a comprehensive approach to infrastructure automation using Terraform and AWS, focusing on optimizing cloud resource deployment and management through Infrastructure as Code (IaC) practices, emphasizing Terraform's declarative configuration management and AWS's extensive service offerings."
"PipeConf: Uma Arquitetura Integrada Para Configuração Automatizada De Ativos De Rede Heterogêneos","https://scispace.com/paper/pipeconf-uma-arquitetura-integrada-para-configuracao-fkngdej7qdfi","","","","Aécio S. Pires
Paulo D. Maciel Jr.
Diego Pessoa
Fernando Matos
Aldri Santos","10.5753/wgrs.2021.17189","","O gerenciamento manual de ativos de rede está suscetível a erros de configuração, falta de padronização, grande quantidade de trabalho repetitivo e pouca ou nenhuma rastreabilidade de alterações ao longo do tempo. A abordagem Infrastructure as Code (IaC) permite automatizar o processo de configuração de recursos como sistemas operacionais, serviços de rede, contêineres e aplicações, tratando-os como software e possibilitando a padronização e reversão da configuração. Este artigo propõe uma arquitetura integrada a partir de ferramentas de softwares diferentes e que usam a abordagem IaC, a fim de automatizar a configuração de ativos de rede, considerando diferentes modelos e fabricantes. Uma avaliação quantitativa mostra a eficiência da arquitetura em tempo de resposta e escalabilidade. A arquitetura obteve um ganho proporcional de 83% no tempo médio de resposta para gerenciar 128 ativos, sem aumento significativo no uso de processamento e memória.","This paper proposes PipeConf, an integrated architecture for automated configuration of heterogeneous network assets using Infrastructure as Code (IaC), achieving an 83% reduction in average response time for managing 128 assets with minimal processing and memory usage."
"Infrastructure as Code (IaC) and Its Role in Achieving DevOps Goals","https://scispace.com/paper/infrastructure-as-code-iac-and-its-role-in-achieving-devops-392vpj7543","2023","Journal Article","International journal of science and research","Dinesh Reddy Chittibala","10.21275/sr24304170702","","In the evolving landscape of software development, DevOps has emerged as a pivotal philosophy, blending software development (Dev) with information technology operations (Ops) to shorten the development lifecycle and provide continuous delivery with high software quality.Central to this paradigm is the concept of Infrastructure as Code (IaC), a practice that programmatically manages and provisions infrastructure through code rather than through manual processes. This paper delves into the integral role of IaC in actualizing DevOps objectives, highlighting how it catalyzes automation, ensures consistency and standardization, facilitates rapid deployment, and enhances collaboration. Through a comprehensive analysis, we explore how IaC not only automates and streamlines operations but also embeds compliance and security into the development process, aligning closely with the DevOps ethos of swift, reliable, and frequent deployments. Additionally, the paper addresses the challenges inherent in implementingIaC within a DevOps framework and proposes best practices to navigate these complexities effectively.The future of software development and IT operations is envisaged as a continuum where IaC and DevOps co -evolve, paving the way for more agile, efficient, and secure IT infrastructure management. ","This paper explores Infrastructure as Code (IaC) as a pivotal component of DevOps, highlighting its role in automating, standardizing, and securing infrastructure management, while addressing challenges and proposing best practices for effective implementation within a DevOps framework."
"Systematic Analysis of Infrastructure as Code Technologies","https://scispace.com/paper/systematic-analysis-of-infrastructure-as-code-technologies-3agbjvr6u3","2023","Journal Article","Gazi university journal of science part a:engineering and innovation","Erdal Özdoğan
Onur Ceran
Mutlu Tahsin Üstündağ","10.54287/gujsa.1373305","","“Infrastructure as Code” technologies are the network automation concept used in configuring network devices, allocating network resources, and deploying developed applications. By using machine-readable codes, various tasks that previously required time and effort can now be done dynamically with infrastructure as code tools. Although Infrastructure as Code is a technology that brings many advantages and is still at the beginning of its popularity, there are not enough resource in the literature. In this study, the key concepts of Infrastructure as Code technologies are discussed and infrastructure as code tools are systematically examined. The four most used Infrastructure as Code tools were examined in terms of management, language, data representation, code approach, stateful and stateless, architectural perspectives. Also, they were compared over these key concepts.","The four most used Infrastructure as Code tools were examined in terms of management, language, data representation, code approach, stateful and stateless, architectural perspectives and they were compared over these key concepts."
"GLITCH: Automated Polyglot Security Smell Detection in Infrastructure as Code","https://scispace.com/paper/glitch-automated-polyglot-security-smell-detection-in-3j01x3ij","2022","Proceedings Article","International Conference on Automated Software Engineering","Nuno Saavedra
João F. Ferreira","10.1145/3551349.3556945","","Infrastructure as Code (IaC) is the process of managing IT infrastructure via programmable configuration files (also called IaC scripts). Like other software artifacts, IaC scripts may contain security smells, which are coding patterns that can result in security weaknesses. Automated analysis tools to detect security smells in IaC scripts exist, but they focus on specific technologies such as Puppet, Ansible, or Chef. This means that when the detection of a new smell is implemented in one of the tools, it is not immediately available for the technologies supported by the other tools — the only option is to duplicate the effort. This paper presents an approach that enables consistent security smell detection across different IaC technologies. We conduct a large-scale empirical study that analyzes security smells on three large datasets containing 196,755 IaC scripts and 12,281,251 LOC. We show that all categories of security smells are identified across all datasets and we identify some smells that might affect many IaC projects. To conduct this study, we developed GLITCH, a new technology-agnostic framework that enables automated polyglot smell detection by transforming IaC scripts into an intermediate representation, on which different security smell detectors can be defined. GLITCH currently supports the detection of nine different security smells in scripts written in Ansible, Chef, or Puppet. We compare GLITCH with state-of-the-art security smell detectors. The results obtained not only show that GLITCH can reduce the effort of writing security smell analyses for multiple IaC technologies, but also that it has higher precision and recall than the current state-of-the-art tools.","GLITCH, a new technology-agnostic framework that enables automated polyglot smell detection by transforming IaC scripts into an intermediate representation, on which different security smell detectors can be defined, is developed and compared with state-of-the-art tools."
