"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Cloud compliance drift automation and root cause analysis tool","https://scispace.com/paper/cloud-compliance-drift-automation-and-root-cause-analysis-1savvo5gn7","2020","Patent","","Blackburn Justin Christopher
Blackburn Jacob
Royal Lorie
Kelly Shawn","","","A method, enterprise information handling system (IHS), and a computer-readable storage medium provide for mitigating a noncompliant configuration of an IHS. A determination is made whether a triggering event has occurred that has a potential for degrading compliance of the enterprise IHS. In response to determining that the triggering event has occurred, a controller performs a configuration scan of the hardware and software of the enterprise IHS to obtain current configuration information. The controller determines changes in the current configuration information based on a comparison of the current configuration information with baseline configuration information that was obtained in response to a previous triggering event. A determination is made whether any changes determined in the current configuration information are non-compliant based on a comparison to compliance status information. The controller enables the enterprise IHS to perform a compliance remediation operation in response to determining that at least one change is non-compliant.","In this article, a controller performs a configuration scan of the hardware and software of the enterprise IHS to obtain current configuration information and makes a determination whether any changes determined in the current information are non-compliant based on a comparison to compliance status information."
"Endpoint drift correction for automatic titrations","https://scispace.com/paper/endpoint-drift-correction-for-automatic-titrations-4kx5fisuz6","1978","Patent","","Lee B. Eppstein
James K. Kroeger
Kenneth A. Lindblom","","","An apparatus and method are described for automatically correcting drift in automatic titrations, such as coulometric titrations of water. An endpoint detector provides a signal indicative of the state of the titration mixture and the detector signal is monitored by two comparators, responsive to titration mixture states on opposite sides of the endpoint and connected to means for controlling forward and back titration. At the end of a titration, the titration time and amount of titrant are stored in memory elements, and circuitry including an array of gates monitors the comparator signals during two post titration time periods to determine both the direction and rate of drift, and to correct the titration results for the amount of drift detected.","In this paper, an apparatus and method are described for automatically correcting drift in automatic titrations, such as coulometric titrations of water, where an endpoint detector provides a signal indicative of the state of the titration mixture and the detector signal is monitored by two comparators, on opposite sides of the endpoint and connected to means for controlling forward and back titration."
"Self-Healing Cloud Databases: Automatically Resolving Outages for Non-Stop Business","https://scispace.com/paper/self-healing-cloud-databases-automatically-resolving-outages-ay0zw50ywnfl","2025","Journal Article","Journal of Information Systems Engineering and Management","Veeravenkata Maruthi Lakshmi Ganesh Nerella","10.52783/jisem.v10i4.12498","","In the modern digital era, cloud databases serve as the foundational layer for business-critical applications, demanding uninterrupted availability, dynamic scalability, and fault tolerance. The concept and architecture of self-healing cloud databases emphasize their role in minimizing downtime and ensuring business continuity. Traditional reactive fault recovery approaches are increasingly insufficient in handling today’s complex, distributed, and real-time cloud systems. Self-healing databases leverage automation, real-time monitoring, and artificial intelligence (AI) to proactively detect, diagnose, and autonomously recover from faults. The study details enabling technologies such as predictive analytics, observability frameworks, container orchestration (e.g., Kubernetes), and DevOps-SRE integrations that make automated remediation possible. Additionally, techniques like load balancing, elastic resource provisioning, and auto-scaling are examined to demonstrate resilience in dynamic workloads. such as anomaly classification complexity and cross-architecture generalization. Evaluation metrics including MTTR, MTTD, fault recovery rate, and uptime percentage are presented to quantify effectiveness. The paper concludes that the convergence of AI, cloud-native infrastructure, and proactive automation is essential for the next generation of resilient database systems capable of responding to operational anomalies autonomously, thus supporting continuous service availability for non-stop business operations. ","Self-healing cloud databases leverage automation, AI, and real-time monitoring to proactively detect and autonomously recover from faults, ensuring business continuity and minimizing downtime through predictive analytics, observability, and DevOps-SRE integrations."
"Container based framework for self-healing software system","https://scispace.com/paper/container-based-framework-for-self-healing-software-system-1q9ra0zvya","2004","Proceedings Article","International Workshop on Variable Structure Systems","Rajesh Kumar Ravi
V. Sathyanarayana","10.1109/FTDCS.2004.1316631","","Software ""self-healing"" is an approach to detect improper operations of software applications, transactions and business processes, and then to initiate corrective action without disrupting users. The software engineering literature contains many studies on software error detection and error correction. In this paper, we introduce a ""container based self-healing"" framework and provide an outline on how the framework can help in evolving a self-healing system for a complex distributed system.","A ""container based self-healing"" framework is introduced and an outline on how the framework can help in evolving a self- healing system for a complex distributed system is provided."
"Sample drift correction device","https://scispace.com/paper/sample-drift-correction-device-e3iuynjgnl","1976","Patent","","Okumura Masahide
Katou Yasuo","","","PURPOSE:To automatically sense the drift of a sample in regard to the original irradiation position of the charged particle beam and to correct the position of the sample","In this article, the drift of a sample in regard to the original irradiation position of the charged particle beam was automatically sensed in order to correct the positions of the sample and the beam."
"Drift correction for scattering measurements","https://scispace.com/paper/drift-correction-for-scattering-measurements-347p75szt3","2006","Journal Article","Applied Physics Letters","Christelle Eyraud
Jean-Michel Geffrin
Amelie Litman
Pierre Sabouroux
Hugues Giovannini","10.1063/1.2404978","","The authors propose a method to correct for drift errors which occur when performing three-dimensional scattering field measurements. This method has the advantages of being fast, without loss of information and with no need of a priori information on the scatterer. It is based on the properties of limited spatial bandwidth of the scattered field.","In this article, the authors proposed a method to correct for drift errors which occur when performing three-dimensional scattering field measurements, which has the advantages of being fast, without loss of information and with no need of a priori information on the scatterer."
"Automatic self-healing method based on IT operation and maintenance","https://scispace.com/paper/automatic-self-healing-method-based-on-it-operation-and-5e6u8sv9r2","2018","Patent","","Zhao Jing
Mei Yongjian
Lian Zhigang
Wu Wenqing
Deng Shufen","","","The invention discloses an automatic self-healing method based on IT operation and maintenance. The method specifically comprises the steps of S1, obtaining start time points and end time points of exception items when exceptions are monitored; S2, obtaining exception information at the start time points and the end time points; and S3, carrying out comparison on exception causes in a model base according to the exception information, calling corresponding self-healing models for processing if the comparison is successful, detailing the exceptions if the comparison is unsuccessful, carrying out the comparison on the exception causes in the model base, calling the corresponding self-healing models for processing if the comparison is successful, for the exception items of which causes cannotbe completely determined, providing possible exception causes according to comparison results of the exceptions, providing reference suggestions and notifying operation and maintenance personnel to carry out artificial processing. According to the method, the exceptions occurring in the system can be positioned and automatically processed in an operation process of a business system, the businessinterruption time is reduced, the manpower investment is reduced, the working efficiency is improved, and technical requirements for the operation and maintenance personnel are reduced.","In this paper, an automatic self-healing method based on IT operation and maintenance is presented. But the method is not suitable for the case where the exception items of which causes cannot be completely determined."
"System and method for configuration drift detection and remediation","https://scispace.com/paper/system-and-method-for-configuration-drift-detection-and-126x2ghd7t","2020","Patent","","Shetty Sudhir Vittal
Ayolasomyajula Rakesh Kumar
Iyer Pushkala","","","Administration of IHSs (Information Handling Systems) within a data center results gradual drift of the configuration parameters of the individual IHSs such that the IHSs may no longer be in compliance with data center policies, such as policies in support of security and disaster recovery procedures. Embodiments provide techniques for distributed determination of drift within a network of managed IHSs, in which each managed IHS is provided with baselines for the configuration parameters utilized by each managed IHS. Using the provided baselines, each managed IHS identifies discrepancies between its current configuration and the applicable baselines. Based on discrepancies reported by the managed IHSs, a management console evaluates drift within the network of managed IHSs and determines when to trigger remediation procedures in order to correct the drift.","In this paper, the authors provide techniques for distributed determination of drift within a network of managed IHSs, in which each IHS is provided with baselines for the configuration parameters utilized by each managedIHS."
"Robust tracking method with drift correction","https://scispace.com/paper/robust-tracking-method-with-drift-correction-389f3g4tvk","2010","Proceedings Article","International Conference on Image Analysis and Signal Processing","Kun-peng Wang
Yang Gui
Xiao-hu Zhang
Qi-feng Yu","10.1109/IASP.2010.5476089","","A new method is proposed to address the problem of template drift, a common phenomenon in which the target gradually shifts away from the template in object tracking. This paper integrates drift monitoring and drift correction with template matching. During the tracking based on template matching, drift is corrected once it is detected. The robustness and practicality of the method have been proven by experimental results.","The robustness and practicality of the method have been proven by experimental results, and it is shown that during the tracking based on template matching, drift is corrected once it is detected."
"Automated issue remediation for information technology infrastructure","https://scispace.com/paper/automated-issue-remediation-for-information-technology-vvupo9reph","2019","Patent","","David Mah
Macfiggen Scott
John Watson","","","Automated issue remediation for information technology infrastructure comprises invoking an application programming interface to obtain at least one issue object corresponding to an alert generated by a monitoring system; matching the issue object to at least one diagnosis plugin of a plurality of diagnosis plugins; obtaining a prescription object from the diagnosis plugin, the prescription object comprising a remedy; and invoking the remedy after verifying the remedy is authorized to proceed.","In this paper, an automated issue remediation for information technology infrastructure comprises invoking an application programming interface to obtain at least one issue object corresponding to an alert generated by a monitoring system, matching the issue object to one diagnosis plugin of a plurality of diagnosis plugins, obtaining a prescription object from the diagnosis plugin, the prescription object comprising a remedy, and invoking the remedy after verifying the remedy is authorized to proceed."
"A Framework for Self-Healing Enterprise Applications Using Observability and Generative Intelligence","https://scispace.com/paper/a-framework-for-self-healing-enterprise-applications-using-ztb6b7pnqp2l","2025","Journal Article","European journal of computer science and information technology","Goutham Yenuganti","10.37745/ejcsit.2013/vol13n42147155","","Enterprise applications operating in distributed cloud environments face significant reliability challenges that traditional monitoring systems cannot adequately address. This framework presents a novel solution combining structured observability with generative artificial intelligence to create autonomous self-healing capabilities. The proposed system integrates multi-layered architecture encompassing telemetry collection, intelligent processing, and controlled execution layers. Generative intelligence models serve as reasoning engines that interpret system anomalies and synthesize appropriate remediation strategies within carefully defined safety boundaries. The framework implements hierarchical anomaly detection methodologies that minimize false positives while maintaining sensitivity to genuine system issues. Automated remediation workflows incorporate risk assessment logic and human-in-the-loop approval processes for complex scenarios. Multiple safety mechanisms including circuit breakers, canary deployments, and automatic rollback triggers ensure system integrity during autonomous operations. The framework transforms enterprise application reliability from reactive incident response to proactive self-maintenance, significantly reducing mean time to recovery while minimizing operational burden on engineering teams. ","A novel framework combines structured observability and generative AI to create autonomous self-healing capabilities in distributed cloud environments, transforming enterprise application reliability from reactive to proactive, reducing mean time to recovery and operational burden."
"Method and system for providing automated self-healing virtual assets","https://scispace.com/paper/method-and-system-for-providing-automated-self-healing-1by4580f77","2015","Patent","","Luis Felipe Cabrera
M. Shannon Lietz","","","A method and system for performing self-monitoring and self-healing operations from a virtual asset include receiving a first operating policy from an asset management computing environment, according to one embodiment. The method and system includes receiving a library of repairs from the asset management computing environment, according to one embodiment. The method and system includes detecting events, with the virtual asset, at least partially based on operational characteristics of the virtual asset exceeding at least one of the thresholds, according to one embodiment. The method and system includes repairing the virtual asset, with the virtual asset, using the library of repairs to return the virtual asset to the pre-determined state of operation.","In this paper, a method and system for performing self-monitoring and self-healing operations from a virtual asset include receiving a first operating policy from an asset management computing environment, according to one embodiment."
"Drift correction method","https://scispace.com/paper/drift-correction-method-j4r4szdwb5","1987","Patent","","Ono Shigeki","","","PURPOSE:To enable the lowering of the rate of influence of contamination of a flow cell on an analysis value, by a method wherein a reagent blank is measured at specified interval of frequency, and the resulting measured value is subtracted from the measured value of the subsequent experimental object for correction. CONSTITUTION:When a biochemical analysis is carried out by nephelometry, a reagent blank is measured at a time interval after the measurement of a specified number of specimens is made, so to speak, after a flow cell begins to contaminate. Then, the measured value of the reagent blank is subtracted from the measured value of the subsequent specimen reactant for correction. So, the correction of the measured value is accomplished before the contamination of the flow cell affects the analysis value to eliminate the effect of the contamination of the flow cell on the analysis value. Thus, a highly reliable analysis value can be obtained with a higher analysis accuracy.","In this paper, a reagent blank is measured at a specified interval of frequency, and the resulting measured value is subtracted from the measured value of the subsequent experimental object for correction."
"System and method for providing software build violation detection and self-healing","https://scispace.com/paper/system-and-method-for-providing-software-build-violation-4p9uq7nc4a","2015","Patent","","Kyasaram Vishwa Prasad
Anilkumar Gande
Srikanth Subrahmanya Nandula
Subhadarshi Mishra","","","Systems, methods, and other embodiments are disclosed that provide self-healing solutions to problems that occur during a software build. In one embodiment, build log data structures of build data, generated during execution of a software build of a software application, are automatically monitored. The build data is automatically analyzed to detect patterns that can result in build violations. Detected patterns are automatically matched to remediation solutions stored in a knowledge database. The remediation solutions are automatically applied to the software application.","In this article, a self-healing solution to problems that occur during a software build is described, where the build log data structures of build data, generated during execution of a software builds of software application, are automatically monitored."
"Drift correction in aes analysis","https://scispace.com/paper/drift-correction-in-aes-analysis-1xjnboqcz0","1993","Patent","","Miyatake Isao","","","PURPOSE:To micronize displacement quantity and to analyze a micro-region by calculating the displacement of a scanning surface by comparing the distributions of the quantity of secondary electrons on the scanning surface at the start time of analysis and at the time of each analysis and moving the scanning position of electron beam to the first region to perform drift correction. CONSTITUTION:The secondary electron image signal S1 of secondary electrons detected during AES (Auger electron spectroscopy) analysis is subjected to the image processing due to a calculator 2 fitted with an image processor and an observation surface is divided into small regions and the quantities of secondary electrons of the respective regions are converted to numerical data to be stored in an AES analyser 1. The numerical data at the start time of AES analysis are preliminarily stored in the analyser 1 and, when the analyser 1 becomes a state capable of taking in a secondary electron image, secondary electrons are immediately taken in the analyser 1 to be converted to numerical data which are, in turn, compared with the data at the start time of analysis to calculate displacements in X- and Y-directions and an electron beam X-Y position control signal S2 is sent to the analyser 1 to move the scanning position of electron beam to the position at the start time of analysis. At the point of time when the displacements are detected, the displacements are immediately corrected to make it possible to analyze the micro-regions without omission.","In this article, the displacement of a scanning surface is calculated by comparing the distributions of the quantity of secondary electrons on the scanning surface at the start time of analysis and at the time of each analysis and moving the scanning position of electron beam to the first region to perform drift correction."
"Nudged broadcast orbit drift correction","https://scispace.com/paper/nudged-broadcast-orbit-drift-correction-hvhw8i60fm","2008","Patent","","Benjamin William Remondi","","","In method of correcting for drift in a Global Navigation Satellite System (GNSS) receiver, a broadcast orbit in use at the GNSS receiver is nudged based on a first message received from a GNSS base station. The nudging creates a first nudged broadcast orbit for a GNSS satellite, the first nudged broadcast orbit being more precise than the broadcast orbit. A second message is received from the GNSS base station. Information included in the second message is employed to determine a drift rate of the first nudged broadcast orbit relative to a more precise orbit in use at the GNSS base station. Based upon the second message, the broadcast orbit is nudged to create a second nudged broadcast orbit for the GNSS satellite. A component of the drift rate is corrected for, relative to the second nudged broadcast orbit.","In this article, the authors proposed a method of correcting for drift in a Global Navigation Satellite System (GNSS) receiver, where a broadcast orbit in use at the GNSS receiver is nudged based on a first message received from a GNSS base station."
"Double-nudged broadcast orbit drift correction","https://scispace.com/paper/double-nudged-broadcast-orbit-drift-correction-vcxw5pzpzn","2010","Patent","","Benjamin W. Remondi
Kendall Ferguson","","","A method in a Global Navigation Satellite System (GNSS) receiver for double-nudged broadcast orbit drift correction. A first broadcast orbit message is utilized to nudge a broadcast orbit in use at the GNSS receiver to create a first nudged broadcast orbit for a GNSS satellite, the first nudged broadcast orbit being more precise than the broadcast orbit. A second broadcast orbit message is utilized to nudge the first nudged broadcast orbit in use at the GNSS receiver to create a double-nudged broadcast orbit for a GNSS satellite, the double-nudged broadcast orbit being more precise than the first nudged broadcast orbit. A third broadcast orbit message is utilized to maintain the double-nudged broadcast orbit, the third broadcast orbit message smaller than the second and the first broadcast orbit messages.","In this article, a method in a Global Navigation Satellite System (GNSS) receiver for double-nudged broadcast orbit drift correction was proposed, in which a first broadcast orbit message was used to nudge a broadcast orbit in use at the GNSS receiver to create a first nudged broadcast satellite, the first nudge broadcast orbit being more precise than the broadcast orbit."
"Generative AI for Cloud Infrastructure Decision-Making and SelfHealing Systems","https://scispace.com/paper/generative-ai-for-cloud-infrastructure-decision-making-and-ws6z4dv29trs","2024","Journal Article","Design of Single Chip Microcomputer Control System for Stepping Motor","Tirumala Ashish Kumar Manne","10.47363/jaicc/2024(3)456","","Cloud infrastructure has grown increasingly complex, demanding intelligent automation to ensure performance, reliability, and resilience. This paper explores the application of Generative Artificial Intelligence (Generative AI) to enhance decision-making and enable self-healing capabilities in cloud environments. Generative models such as large language models (LLMs), generative adversarial networks (GANs), and variational autoencoders (VAEs) are proving instrumental in addressing challenges related to dynamic resource provisioning, anomaly detection, root cause analysis, and automated remediation. I present a framework that leverages generative models to simulate failure scenarios, generate configuration policies, and synthesize runbooks for autonomous recovery. Integration with observability pipelines and cloud-native services enables closed-loop, real-time adaptation, reducing mean time to resolution (MTTR) and improving system uptime. Case studies demonstrate improved accuracy in fault prediction and faster recovery compared to traditional methods. I also discuss implementation challenges, including model drift, latency constraints, and data privacy. This study underscores the transformative potential of Generative AI in building resilient, adaptive, and scalable cloud infrastructures, while offering practical insights for architects, DevOps teams, and AI researchers aiming to advance autonomous cloud operations. ","This paper explores Generative AI's application in cloud infrastructure decision-making and self-healing systems, leveraging models like LLMs, GANs, and VAEs to enhance performance, reliability, and resilience through automated remediation and real-time adaptation."
"Temporal drift correction","https://scispace.com/paper/temporal-drift-correction-2de7aaugxk","2001","Patent","","John Mantegna
Shuwu Wu","","","Temporal drift correction may be provided in a real-time audio communication system by measuring a size of a receiving data buffer and comparing that size to a predetermined nominal data buffer size. An amount of temporal drift is characterized as a number of samples per audio playback data block based on the measured data buffer size and the nominal data buffer size. A number of samples to be inserted or removed for each audio playback data block to correct the temporal drift may be determined, and the number of samples for each audio playback data block may be modified. For example, an instantaneous size of the receiving data buffer may be measured, and if measured multiple times, may be averaged over a time period. Heuristic resampling of the audio playback data block also may be performed. When heuristic resampling is performed, multiple consecutive samples of audio data in an audio buffer may be analyzed, consecutive samples with minimal variation in a parameter of their data may be identified, and the number of samples in the identified consecutive samples may be adjusted. A sample may be removed from or added to the identified consecutive samples.","In this paper, an amount of temporal drift is characterized as a number of samples per audio playback data block based on the measured data buffer size and the nominal data buffer length, and the number of audio playback samples to be inserted or removed for each audio playback block to correct the temporal drift may be determined."
"Drift correction for camera tracking","https://scispace.com/paper/drift-correction-for-camera-tracking-46x2gocn51","2016","Patent","","Samer S. Barakat
Mohamed Selim Ben Himane","","","Techniques are disclosed for drift correction for camera tracking. In some cases, the techniques include iterative optimization of the camera poses at selected keyframes captured along the camera trajectory to reduce pose errors. Such iterative optimization may include performing an alignment process using the point cloud of a given keyframe and a point cloud made from one or more overlapping keyframes, such as via an iterative closest point (ICP)-based expectation maximization. The keyframes may then be fused to reconstruct a more accurate model of the scene, discarding the existing model. The new model can then be used for tracking and meshing. In some instances, keyframes may be selected such that the overlap with other keyframes includes enough shape features to allow for alignment with the keyframe depth point cloud. In some cases, the techniques can be performed in a particular order giving precedence to keyframes having smaller pose errors.","In this paper, the keyframes are selected such that the overlap with other keyframes includes enough shape features to allow for alignment with the keyframe depth point cloud, such as via an iterative closest point (ICP)-based expectation maximization."
"Double-sided rapid drift correction","https://scispace.com/paper/double-sided-rapid-drift-correction-314rpqzmji","2010","Patent","","Michael Mueller","","","A method and system for gas sensor drift correction is disclosed, appropriate for use in a system placed in an environment that with some regularity reaches a background gas concentration. A background gas concentration range is defined. When the gas sensor readings drop below the background gas concentration range for at least a defined short dwell time, an upwards calibration adjustment is effected. When the gas sensor readings stay above the background gas concentration range for a defined long dwell time (longer than the maximum expected interval between excursions to the background gas concentration), a downwards calibration adjustment is effected.","In this article, a method and system for gas sensor drift correction is disclosed, appropriate for use in a system placed in an environment that with some regularity reaches a background gas concentration."
"Self-healing in the Scope of Software-Based Computer and Mobile Networks","https://scispace.com/paper/self-healing-in-the-scope-of-software-based-computer-and-40ia5uollx","2020","Book Chapter","International Conference on Cloud Computing and Services Science","Natal Vieira de Souza Neto
Daniel Ricardo Cunha Oliveira
Maurício Amaral Gonçalves
Flávio de Oliveira Silva
Pedro Frosi Rosa","10.1007/978-3-030-72369-9_14","","Self-healing is an autonomic computing fundamental well-disseminated in standalone computer systems. In distributed systems, e.g. computer networks or mobile networks, the introduction of self-healing capabilities poses some challenges, mainly when software-based networks, e.g. Software-Defined Networking (SDN) and Network Functions Virtualisation (NFV), are involved. Such networks impose new control and management layers, and the adoption of self-healing functions means that all layers must be considered. In this paper, we present the challenges of self-healing in the scope of SDN and NFV, by revising the self-healing concept in computer and mobile networks, and by presenting the thorough difference between a system that applies fault tolerance from one that applies self-healing functions. We also introduce a framework for solving these challenges, by describing four use cases of self-healing, considering control, management, and data layers. The use cases focus on maintaining the health of the network at run-time, considering control, management, and infrastructure layers. Our framework is a novel Operations, Administration, and Maintenance (OAM) tool, based on a self-management network architecture that was introduced in our previous works.","In this paper, the authors present the challenges of self-healing in the scope of SDN and NFV, by revising the selfhealing concept in computer and mobile networks, and by presenting the thorough difference between a system that applies fault tolerance from one that applies self healing functions."
