"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"The cloud architectures for distributed multi-cloud computing: a review of hybrid and federated cloud environment","https://scispace.com/paper/iE8gesYNu-4J","","","","KJ Merseedi
SRM Zeebaree","","http://ijcs.net/ijcs/index.php/ijcs/article/download/3811/475","… The use of multi-cloud techniques has increased as businesses use cloud computing … multi-cloud computing is presented in this study, with an emphasis on federated and hybrid cloud …",""
"Towards multi-cloud configurations using feature models and ontologies","https://scispace.com/paper/towards-multi-cloud-configurations-using-feature-models-and-4x5pk44ur4","2013","Proceedings Article","","Clément Quinton
Nicolas Haderer
Romain Rouvoy
Laurence Duchien","10.1145/2462326.2462332","https://dl.acm.org/doi/pdf/10.1145/2462326.2462332","… It is all the more true when considering a multi-cloud … fms to identify cloud or multi-cloud configurations whose functionalities … This contribution aims at selecting a cloud or multi-cloud …","Configuration and customization choices arise due to the heterogeneous and scalable aspect of the cloud computing paradigm. To avoid being restricted to a given cloud and ensure application requirements, using several clouds to deploy a multi-cloud configuration is recommended but introduces several challenges due to the amount of providers and their intrinsic variability. In this paper, we present a model-driven approach based on Feature Models (FMs) originating from Software Product Lines (SPL) to handle cloud variability and then manage and create cloud configurations. We combine it with ontologies, used to model the various semantics of cloud systems. The approach takes into consideration application technical requirements as well as non-functional ones to provide a set of valid cloud or multi-cloud configurations and is implemented in a framework named SALOON."
"Orchestrating the deployment of high availability services on multi-zone and multi-cloud scenarios","https://scispace.com/paper/orchestrating-the-deployment-of-high-availability-services-5bicx0tbd7","2018","Journal Article","Journal of Grid Computing","Rafael Moreno-Vozmediano
Rubén S. Montero
Eduardo Huedo
Ignacio M. Llorente
Ignacio M. Llorente","10.1007/S10723-017-9417-Z","","… Furthermore, we also extend this solution to multi-cloud … In addition, we also extend the deployment of HA services to multi-cloud … Hence, the simplest way to orchestrate the multi-cloud …","Cloud computing has become one of the most used platforms to deploy High Availability (HA) solutions for its flexibility, on-demand provisioning, and elasticity. However, although many providers offer specific tools for HA support, like floating IPs and load balancing, the analysis of downtime at public cloud providers in previous years shows that a combination of several availability zones or cloud providers is required to achieve “five nines” availability. Besides reducing the chances of failure, the use of multiple availability zones and geographically distributed clouds may additionally bring performance and cost benefits. However, the orchestration, in an efficient and adaptive way, of HA multi-tier services in multi-zone and multi-cloud environments brings several challenges. This paper presents a novel orchestration method to automate the deployment and management of high availability multi-tier services on multiple availability zones, by introducing new affinity mechanisms, such as VM to location and role to role affinity/anti-affinity rules. Furthermore, we also extend this solution to multi-cloud scenarios, based on the replication or distribution of the service components among various clouds, along with their corresponding affinity rules."
"Multi-cloud: a comprehensive review","https://scispace.com/paper/multi-cloud-a-comprehensive-review-n9pu9ubj5b","2020","Proceedings Article","IEEE International Multitopic Conference","Hamza Ali Imran
Usama Latif
Ataul Aziz Ikram
Maryam Ehsan
Ahmed Jamal Ikram
Waleed Ahmad Khan
Saad Wazir","10.1109/INMIC50486.2020.9318176","https://ieeexplore.ieee.org/iel7/9318042/9318043/09318176.pdf","… concept of multi-cloud has been introduced. In multi-cloud technology, we can use multiple clouds from different vendors without platform complexity. Hence summarized, Multi-cloud is …","In the span of a decade, innovations in cloud computing have led to a new understanding of computing to be used as a utility. Majority of cloud service providers are making the service better and competitive for end-user. Aside from the number of services introduced by these providers, users are feeling uneasy and are unaware of consequences while switching from one service to another. Internal architecture of the cloud makes it difficult for end-users to understand. To overcome this issue a new concept of multi-cloud has been introduced. In multi-cloud technology, we can use multiple clouds from different vendors without platform complexity. Hence summarized, Multi-cloud is the usage of autonomous cloud platforms with one interface which may clue to different administrative and implementation domains. This paper reviews the literature of recently presented solutions and architectures for multi-cloud platforms."
"Multi-cloud platform-as-a-service model, functionalities and approaches","https://scispace.com/paper/multi-cloud-platform-as-a-service-model-functionalities-and-2q4zoy2oys","2016","Journal Article","Procedia Computer Science","Ana Juan Ferrer
David Garcia Perez
Román Sosa González","10.1016/J.PROCS.2016.08.281","https://www.sciencedirect.com/science/article/pii/S187705091632097X/pdf?md5=3ac2afeb73de67caee43f617f101b614&pid=1-s2.0-S187705091632097X-main.pdf&_valck=1","… PaaS multi-cloud. This paper presents and compares results of two research projects addressing PaaS multi-cloud … for managing both our multi-cloud PaaS and the SaaS applications. …",""
"Multi-cloud management: Technologies, tools, and techniques","https://scispace.com/paper/multi-cloud-management-technologies-tools-and-techniques-2z4fp4x82n","2018","Book Chapter","","Pethuru Raj
Anupama Raman","10.1007/978-3-319-78637-7_10","","The future clearly beckons and reckons for hybrid Clouds. The Cloud journey thus far is simply a roller coaster ride. Clouds are typically online, on-demand, and off-premise/on-premise. …","The future clearly beckons and reckons for hybrid Clouds. The Cloud journey thus far is simply a roller coaster ride. Clouds are typically online, on-demand, and off-premise/on-premise. There are public, private, and community Clouds in plenty to comfortably cater to different regions and requirements. There is a number of purpose-specific Cloud environments catering to different communities. Precisely speaking, there are environment-specific, organization-wide, business-centric, private, and localized Clouds comprising bare metal servers, virtual machines, and containers. In the recent past, there are edge or fog device Clouds emerging an evolving fast with the maturity and stability of edge or fog computing. That is, multi-faceted devices are being meticulously clubbed together to form powerful and pioneering device Clouds to attend environment-specific and time-sensitive tasks. On the other hand, there are massive public Clouds by various providers to meet their clients’ computing, networking, and storage needs. Thus, the Cloud evolution and revolution are definitely and decisively amazing. The next innovation, disruption, and transformation in this mesmerizing journey is to form and leverage hybrid Clouds. Many kinds of distributed Cloud environments are to be connected with one another to achieve bigger and better things for the IT, which is invariably mandated to do more with less. This chapter is dedicated to conveying what and why hybrid Clouds and how the hybrid Cloud management tasks are being meticulously accomplished through integrated management tools."
"Navigating the multi-cloud maze: benefits, challenges, and future trends","https://scispace.com/paper/navigating-the-multi-cloud-maze-benefits-challenges-and-1si44nfsis","2024","Journal Article","","Dhruv Seth
Harshavardhan Nerella
Madhavi Najana
Ayisha Tabbassum","10.21428/e90189c8.8c704fe4","","… a multi-cloud approach and apply it to utilize its advantages while mitigating its challenges. The multi-cloud … The core of a winning multi-cloud strategy is an unwavering willingness to …",""
"Hybrid IT and multi cloud an emerging trend and improved performance in cloud computing","https://scispace.com/paper/hybrid-it-and-multi-cloud-an-emerging-trend-and-improved-569v08ay6h","2020","Journal Article","","Srinivasa Rao Gundu
Charanarur Panem
Anuradha Thimmapuram","10.1007/S42979-020-00277-X","https://www.academia.edu/download/96203521/s42979-020-00277-x.pdf","… Multi-cloud exchanges to optimize connectivity today, multi-cloud exchanges offer the next level in direct connectivity, allowing organizations to safely and easily expand multi-cloud …","In the present day scenario cloud computing is an attractive subject for IT and non IT personnel. It is a service-oriented pay per use computational model. Cloud has working models with service-oriented delivery mechanism as well as deployment-oriented infrastructure mechanism. Data centers are the backbone of cloud computing. The massive participation of public has also increased the load on the cloud servers. Proper scheduling of resources is always needed. Quality of service is to be provided as per the service level agreement. Virtualization technique is the main reason behind the huge success of cloud. Multi-cloud exchanges to optimize connectivity today, multi-cloud exchanges offer the next level in direct connectivity, allowing organizations to safely and easily expand multi-cloud capabilities. Exchanges eliminate the added worries that an open Internet can bring as well as the tedious provisioning and configuring that comes with connecting to the public Internet. Importantly, multi-cloud exchanges allow organizations to establish a single connection to multiple cloud providers at the same time through an Ethernet switching platform, rather than wrestling with multiple individual connections to cloud providers."
"Optimizing hybrid and multi-cloud architectures for real-time data streaming and analytics: Strategies for scalability and integration","https://scispace.com/paper/optimizing-hybrid-and-multi-cloud-architectures-for-real-241f9ubltmx4","2022","Journal Article","World Journal of Advanced Engineering Technology and Sciences","Jobin George","10.30574/wjaets.2022.7.1.0087","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4963389","… The adoption of artificial intelligence with multi-cloud is one … up with the best solutions in multi-cloud infrastructures. Firstly, … applications of multicloud and hybrid-cloud and when each …","The adoption of artificial intelligence with multi-cloud is one useful area that businesses and organizations should explore mainly due to its scalability, flexibility, and efficiency. As a result, this integration must come with several pulls that have to be dealt with to realize proper implementation. This paper seeks to identify the major issues of implementing AI and coming up with the best solutions in multi-cloud infrastructures. Firstly, compatibility problems appear as a fundamental issue in the process of implementing AI across more than one cloud. Every cloud provider uses different APIs, formats for data, and possibilities to configure the infrastructure that hinders data and services integration. To counter this, there is a need to have the compliance that comes in terms of standard development through the use of data formats, APIs, and interoperability frameworks. Furthermore, features such as Docker and Kubernetes make the work with ports lighter and let the AI components smoothly interconnect regardless of the used cloud environment. Secondly, data management as well as the governance of big data serve up significant challenges for multi-cloud AI implementation. Legal requirements concerning data privacy, global compliance standards, as well as data sovereignty concerns call for strong governance of cloud data to ensure they are accurate, secure, as well as compliant in the required cloud settings. These risks must be addressed, nonetheless, to build trust in the multi-cloud AI utilization; in this regard, robust data management, encompassing data encryption, access privileges, as well as data auditing, can be implemented in organizational settings. In addition, the optimization of performance is another significant issue to consider as AI computational tasks may be executed across different cloud environments resulting in increased throughput time and network congestion and contention. Through auto-scaling and workload scheduling algorithms used in orchestration, resources can be effectively allocated and loaded in the heterogeneous cloud infrastructures in the most efficient and optimum way thus reducing operational costs. The other is achieving robustness and dependability of multi-cloud AI applications. It is an immutable fact that one can always imagine a situation when clouds, networks, or hardware will fail; therefore, specific measures should be taken to ensure the availability and reliability of the system. The TCP/IP model also classes the means used for implementing redundant mechanisms, data replication strategies and disaster recovery protocols in different geographically situated cloud regions that improve the dependable computing system’s resources. "
"Orchestrated multi-cloud application deployment in OpenStack with TOSCA","https://scispace.com/paper/orchestrated-multi-cloud-application-deployment-in-openstack-2ilg8k0o2i","2017","Proceedings Article","IEEE International Conference on Smart Computing","Giuseppe Tricomi
Alfonso Panarello
Giovanni Merlino
Francesco Longo
Dario Bruneo
Antonio Puliafito","10.1109/SMARTCOMP.2017.7947027","","… multi-cloud scenarios are becoming the next frontier in the usage of distributed datacenters for private and hybrid Cloud … application deployment in multi-Cloud OpenStack-based setups, …","Cloud computing is becoming a relatively mature paradigm in the ICT landscape. In light of the growing appetite for resources and service levels on par with user expectations, multi-cloud scenarios are becoming the next frontier in the usage of distributed datacenters for private and hybrid Cloud scenarios. Application deployment in particular is a noteworthy feature to be evaluated as microservices become mainstream in adoption. Especially so when considered jointly with orchestration services; indeed OpenStack, as the most widely adopted Cloud middleware among the OpenSource community, features an orchestration subsystem, and may orchestrate the deployment of applications and services. In this work the authors will describe an architecture, developed within the H2020 BEACON project, for a standardized approach to orchestrated application deployment in multi-Cloud OpenStack- based setups, with TOSCA providing the specifications."
