"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Self healing concrete: a biological approach","https://scispace.com/paper/self-healing-concrete-a-biological-approach-29umigtq37","2007","Book Chapter","","Henk M. Jonkers","10.1007/978-1-4020-6250-6_9","https://www.academia.edu/download/54319894/Livro_-_Self_Healing_Materials_-_An_Alternative_Approach_to_20_Centuries_of_Materials_Science.pdf#page=205","… A self healing mechanism or self healing agent in concrete should comply … self healing properties. Besides this, other agents could work equally well or can contribute to the self healing …","Concrete can be considered as a kind of artificial rock with properties more or less similar to certain natural rocks. As it is strong, durable, and relatively cheap, concrete is, since almost two centuries, the most used construction material worldwide, which can easily be recognized as it has changed the physiognomy of rural areas. However, due to the heterogeneity of the composition of its principle components, cement, water, and a variety of aggregates, the properties of the final product can widely vary. The structural designer therefore must previously establish which properties are important for a specific application and must choose the correct composition of the concrete ingredients in order to ensure that the final product applies to the previously set standards. Concrete is typically characterized by a high-compressive strength, but unfortunately also by a rather low-tensile strength. However, through the application of steel or other material reinforcements, the latter can be compensated for as such reinforcements can take over tensile forces. Modern concrete is based on Portland cement, a hydraulic cement patented by Joseph Aspdin in the early 19th century. Already in Roman times hydraulic cements, made from burned limestone and volcanic earth, slowly replaced the widely used non-hydraulic cements, which were based on burned limestone as main ingredient. When limestone is burned (or “calcined”) at a temperature between 800 and 900◦C, a process that drives off bound carbon dioxide (CO2), lime (calcium oxide; CaO) is produced. Lime, when brought into contact with water, reacts to form portlandite (Ca(OH)2) which can further react with CO2, which in turn forms back into calcite (CaCO3), or limestone, the pre-burning starting material. However, a major drawback of this non-hydraulic cement is that it will not set under water and, moreover, its reaction products portlandite and limestone are relatively soluble, and thus will deteriorate rapidly in wet and/or acidic environments. In contrast, portland cement produces, upon reaction with water, a much harder and insoluble material that will also set under water. For portland cement production a source of calcium, silicon, aluminum, and iron is needed and therefore usually limestone, clay, some bauxite, and iron ore are burned in a kiln at temperatures up to 1, 500◦C. The cement clinker produced is mainly composed of the minerals alite (3CaO.SiO2), belite (2CaO.SiO2), aluminate (3CaO.Al2O3), and ferrite (4CaO.Al2O3.Fe2O3), which all yield specific hydration products with different characteristics upon reaction with water."
"Self-healing superamphiphobicity","https://scispace.com/paper/self-healing-superamphiphobicity-56sj4zeaov","2011","Journal Article","Chemical Communications","Xiaolong Wang
Xinjie Liu
Feng Zhou
Weimin Liu","10.1039/C0CC04066E","","… It shows that for the living clover leaves, the C/O ratio of the original leaf surface is 7.14, and it changes to 3.12 after plasma treatment and again increases to 6.67 after 48 h self-healing …",""
"Self healing materials: an alternative approach to 20 centuries of materials science","https://scispace.com/paper/self-healing-materials-an-alternative-approach-to-20-2bpbs1t8xr","2007","Book","","Sylbrand van der Zwaag","","","lished by Springer. This book, the first in this new field of materials science, aims to present a coherent picture of design principles and resulting properties of self-healing materials over …","Foreword M.F. Ashby Preface 1. Introduction to material design principles S. van der Zwaag 2. Self healing polymers and composites H.M. Andersson, M.W. Keller, J.S. Moore, N.R. Sottos and S.R. White 3. Remendable polymers S.D. Bergman and F. Wudl 4. Thermally induced self healing of thermosetting resins and matrices in smart composites F.R. Jones, W. Zhang and S.A. Hayes 5. Ionomers as self healing polymers R. Varley 6. Self healing fibre reinforced polymer composites: an overview I.P. Bond, R.S. Trask, H.R. Williams and G.R. Williams 7. Self healing polymer coatings R.A.T.M. van Benthem, W. Ming and G. de With 8. Self healing in concrete materials V.C. Li and E. Yang 9. Self healing concrete: a biological approach H.M. Jonkers 10. Exploring mechanisms of healing in asphalt mixtures and quantifying its impact D. N. Little and A. Bhasin 11. Self healing in aluminium alloys R. Lumley 12. Crack and void healing in metals H. Wang, P. Huang and Z. Li 13. Advances in transmission electron microscopy: self healing, or is prevention better than cure J.Th.M. de Hosson and H.Y. Yasuda 14. Self healing in coatings at high temperatures W.G. Sloof 15. Hierarchical structure and repair of bone: deformation, remodeling, healing P. Fratzl and R. Weinkamer 16. Modelling of self healing of skin tissue F.J. Vermolen, W.G. van Rossum, E. Javierre and J.A. Adam 17. Numerical models for self healing mechanisms J.J.C. Remmers and R. de Borst About the authors"
"Self-healing polymers and composites","https://scispace.com/paper/self-healing-polymers-and-composites-2dan4qvqt2","2010","Journal Article","International Materials Reviews","Timothy C. Mauldin
Michael R. Kessler","10.1179/095066010X12646898728408","http://autonomic.beckman.illinois.edu/nrs097.pdf","… , have potential for self-healing. The majority of … self-healing during fatigue and in response to impact damage, puncture, and corrosion. The concepts embodied by current self-healing …","Inspired by the unique and efficient wound healing processes in biological systems, several approaches to develop synthetic polymers that can repair themselves with complete, or nearly complete, autonomy have recently been developed. This review aims to survey the rapidly expanding field of self-healing polymers by reviewing the major successful autonomic repairing mechanisms developed over the last decade. Additionally, we discuss several issues related to transferring these self-healing technologies from the laboratory to real applications, such as virgin polymer property changes as a result of the added healing functionality, healing in thin films v. bulk polymers, and healing in the presence of structural reinforcements."
"Self-healing soft electronics","https://scispace.com/paper/self-healing-soft-electronics-5ckbo6rlvg","2019","Journal Article","","Jiheong Kang
Jeffrey B.-H. Tok
Zhenan Bao","10.1038/S41928-019-0235-0","","… Here we review the development of self-healing electronic materials and examine how such … self-healing electronic devices. We explore the potential new functionalities of self-healing …","Biological systems have the powerful ability to self-heal. Human skin can, for example, autonomously heal from wounds of various degrees, allowing it to restore its mechanical and electrical properties. In contrast, human-made electronic devices degrade over time due to fatigue, corrosion or damage incurred during operation, leading to device failure. Self-healing chemistry has emerged in recent years as a promising method for constructing soft electronic materials that are mechanically robust and can self-repair. Here we review the development of self-healing electronic materials and examine how such materials can be used to fabricate self-healing electronic devices. We explore the potential new functionalities of self-healing electronic systems that would not typically be possible with conventional electronic systems and discuss the current challenges in delivering self-healing soft electronics for practical applications. This Review Article examines the development of self-healing electronic materials and devices, explores their potential applications and discusses the challenges that exist in delivering practical systems."
"Self‐healing hydrogels","https://scispace.com/paper/self-healing-hydrogels-32zpw7ldbk","2016","Journal Article","Advanced Materials","Danielle L. Taylor
Marc in het Panhuis","10.1002/ADMA.201601613","https://advanced.onlinelibrary.wiley.com/doi/am-pdf/10.1002/adma.201601613","Over the past few years, there has been a great deal of interest in the development of hydrogel materials with tunable structural, mechanical, and rheological properties, which exhibit …","Over the past few years, there has been a great deal of interest in the development of hydrogel materials with tunable structural, mechanical, and rheological properties, which exhibit rapid and autonomous self-healing and self-recovery for utilization in a broad range of applications, from soft robotics to tissue engineering. However, self-healing hydrogels generally either possess mechanically robust or rapid self-healing properties but not both. Hence, the development of a mechanically robust hydrogel material with autonomous self-healing on the time scale of seconds is yet to be fully realized. Here, the current advances in the development of autonomous self-healing hydrogels are reviewed. Specifically, methods to test self-healing efficiencies and recoveries, mechanisms of autonomous self-healing, and mechanically robust hydrogels are presented. The trends indicate that hydrogels that self-heal better also achieve self-healing faster, as compared to gels that only partially self-heal. Recommendations to guide future development of self-healing hydrogels are offered and the potential relevance of self-healing hydrogels to the exciting research areas of 3D/4D printing, soft robotics, and assisted health technologies is highlighted."
"Sample drift correction in 3D fluorescence photoactivation localization microscopy","https://scispace.com/paper/sample-drift-correction-in-3d-fluorescence-photoactivation-4jhu6xpmwk","2011","Journal Article","Optics Express","Michael J. Mlodzianoski
John M. Schreiner
Steven P. Callahan
Katarína Smolková
Andrea Dlasková
Jitka Šantorová
Petr Ježek
Joerg Bewersdorf","10.1364/OE.19.015009","https://opg.optica.org/viewmedia.cfm?seq=0&uri=oe-19-16-15009","… We demonstrate the performance of our drift correction algorithm with different simulated structures and analyze its dependence on particle density and localization precision. By …","The recent development of diffraction-unlimited far-field fluorescence microscopy has overcome the classical resolution limit of ~250 nm of conventional light microscopy by about a factor of ten. The improved resolution, however, reveals not only biological structures at an unprecedented resolution, but is also susceptible to sample drift on a much finer scale than previously relevant. Without correction, sample drift leads to smeared images with decreased resolution, and in the worst case to misinterpretation of the imaged structures. This poses a problem especially for techniques such as Fluorescence Photoactivation Localization Microscopy (FPALM/PALM) or Stochastic Optical Reconstruction Microscopy (STORM), which often require minutes recording time. Here we discuss an approach that corrects for three-dimensional (3D) drift in images of fixed samples without the requirement for fiduciary markers or instrument modifications. Drift is determined by calculating the spatial cross-correlation function between subsets of localized particles imaged at different times. Correction down to ~5 nm precision is achieved despite the fact that different molecules are imaged in each frame. We demonstrate the performance of our drift correction algorithm with different simulated structures and analyze its dependence on particle density and localization precision. By imaging mitochondria with Biplane FPALM we show our algorithm's feasibility in a practical application."
"Self-healing polymeric materials: A review of recent developments","https://scispace.com/paper/self-healing-polymeric-materials-a-review-of-recent-1pj568e906","2008","Journal Article","Progress in Polymer Science","Dong Yang Wu
Sam Meure
David H. Solomon","10.1016/J.PROGPOLYMSCI.2008.02.001","","… An overview of various self-healing concepts for polymeric materials published over the last … the self-healing systems, the different methods for evaluating self-healing efficiencies, and …",""
"Towards architecture-based self-healing systems","https://scispace.com/paper/towards-architecture-based-self-healing-systems-5avb4obui4","2002","Proceedings Article","Workshop on Self-healing systems","Eric M. Dashofy
André van der Hoek
Richard N. Taylor","10.1145/582128.582133","https://dl.acm.org/doi/pdf/10.1145/582128.582133","… Our approach to creating self-healing systems is … a self-healing system, a significant infrastructure must be in place to support making the planned repair. Specifically, the self-healing …","Our approach to creating self-healing systems is based on software architecture, where repairs are done at the level of a software system's components and connectors. In our approach, event-based software architectures are targeted because they offer significant benefits for run-time adaptation. Before an automated planning agent can decide how to repair a self-healing system, a significant infrastructure must be in place to support making the planned repair. Specifically, the self-healing system must be built using a framework that allows for run-time adaptation, there must be a language in which to express the repair plan, and there must be a reconfiguration agent that can execute the repair plan once it is created. In this paper, we present tools and methods that implement these infrastructure elements in the context of an overall architecture-based vision for building self-healing systems. The paper concludes with a gap analysis of our current infrastructure vs. the overall vision, and our plans for fulfilling that vision."
"A review of self‐healing concrete for damage management of structures","https://scispace.com/paper/a-review-of-self-healing-concrete-for-damage-management-of-51xbtkvzxq","2018","Journal Article","Advanced Materials Interfaces","Nele De Belie
Elke Gruyaert
Abir Al-Tabbaa
Paola Antonaci
Cornelia Baera
Diana Bajare
Aveline Darquennes
Robert Davies
Liberato Ferrara
Tony Jefferson
Chrysoula Litina
Bojan Miljević
Anna Otlewska
Jonjaua Ranogajec
Marta Roig-Flores
Kevin Paine
Pawel Lukowski
Pedro Serna
Jean Marc Christian Tulliani
Snezana Vucetic
Jianyun Wang
Henk M. Jonkers","10.1002/ADMI.201800074","https://re.public.polimi.it/bitstream/11311/1054570/1/admi.201800074_R1.pdf","The increasing concern for safety and sustainability of structures is calling for the development of smart self‐healing materials and preventive repair methods. The appearance of small …","The increasing concern for safety and sustainability of structures is calling for the development of smart self-healing materials and preventive repair methods. The appearance of small cracks (<300 µm in width) in concrete is almost unavoidable, not necessarily causing a risk of collapse for the structure, but surely impairing its functionality, accelerating its degradation, and diminishing its service life and sustainability. This review provides the state-of-the-art of recent developments of self-healing concrete, covering autogenous or intrinsic healing of traditional concrete followed by stimulated autogenous healing via use of mineral additives, crystalline admixtures or (superabsorbent) polymers, and subsequently autonomous self-healing mechanisms, i.e. via, application of micro-, macro-, or vascular encapsulated polymers, minerals,or bacteria. The (stimulated) autogenous mechanisms are generally limited to healing crack widths of about 100–150 µm. In contrast, most autonomous self-healing mechanisms can heal cracks of 300 µm, even sometimes up to more than 1 mm, and usually act faster. After explaining the basic concept for each self-healing technique, the most recent advances are collected, explaining the progress and current limitations, to provide insights toward the future developments. This review addresses the research needs required to removehindrances that limit market penetration of self-healing concrete technologies."
