"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"An approach to identifying error patterns for infrastructure as code","https://scispace.com/paper/an-approach-to-identifying-error-patterns-for-infrastructure-ef9uahf9ue","2018","Proceedings Article","International Symposium on Software Reliability Engineering","Wei Chen
Guoquan Wu
Jun Wei","10.1109/ISSREW.2018.00-19","https://www.researchgate.net/profile/Wei-Chen-350/publication/329064339_An_Approach_to_Identifying_Error_Patterns_for_Infrastructure_as_Code/links/5e4e421f458515072dabb96c/An-Approach-to-Identifying-Error-Patterns-for-Infrastructure-as-Code.pdf","… We are inspired to identify IaC error patterns from the code changes, and which would be helpful in improving IaC quality. Figure 2 presents a code snippet which contains a change in a …","Infrastructure as Code (IaC), which specifies system configurations in an imperative or declarative way, automates environment set up, system deployment and configuration. Despite wide adoption, developing and maintaining high-quality IaC artifacts is still challenging. This paper proposes an approach to handling the fine-grained and frequently occurring IaC code errors. The approach extracts code changes from historical commits and clusters them into groups, by constructing a feature model of code changes and employing an unsupervised machine learning algorithm. It identifies error patterns from the clusters and proposes a set of inspection rules to check the potential IaC code errors. In practice, we take Puppet code artifacts as subject objects and perform a comprehensive study on 14 popular Puppet artifacts. In our experiment, we get 41 cross-artifact error patterns, covering 42% crawled code changes. Based on these patterns, 30 rules are proposed, covering 60% identified error patterns, to proactively check IaC artifacts. The approach would be helpful in improving code quality of IaC artifacts."
"Towards a taxonomy of infrastructure as code misconfigurations: an ansible study","https://scispace.com/paper/towards-a-taxonomy-of-infrastructure-as-code-5zfc45i2j6ct","2024","Journal Article","Communications in computer and information science","Rohollah Nasiri
Indika Kumara
Damian A. Tamburri
Willem‐Jan van den Heuvel","10.1007/978-3-031-72578-4_5","","… While the IaC approach can simplify and automate infrastructure management, the configuration errors (ie, misconfigurations) in the IaC … In this paper, we present a taxonomy of IaC …",""
"Ansible Vs. Terraform: A Comparative Study on Infrastructure As Code (IaC) Efficiency in Enterprise IT","https://scispace.com/paper/ansible-vs-terraform-a-comparative-study-on-infrastructure-00sdvft7sjj1","2023","Journal Article","","Ali Syed
Erik Anazagasty","10.63282/3050-9246.ijetcsit-v4i2p105","https://www.ijetcsit.org/index.php/ijetcsit/article/download/117/91","Infrastructure as Code (IaC) has changed corporate IT by … most widely used Infrastructure as Code (IaC) technologies available… all influence the appropriate IaC technology that IT teams …",""
"Infrastructure as Code–Technology Review and Research Challenges","https://scispace.com/paper/hFfYLui2iqgJ","","","","C Pahl
NG Gunduz
OC Sezen
A Ghamgosar","","https://www.researchgate.net/profile/Claus-Pahl/publication/389406746_Infrastructure_as_Code_-Technology_Review_and_Research_Challenges/links/67c17529461fb56424ec2b8e/Infrastructure-as-Code-Technology-Review-and-Research-Challenges.pdf","… IaC generation to full self-adaptation of IaC code in an automated setting. We review available IaC … We also introduce an IaC-specific DevOps process. This serves as a basis to identify …",""
"Sok: static configuration analysis in infrastructure as code scripts","https://scispace.com/paper/sok-static-configuration-analysis-in-infrastructure-as-code-1r7w1ccwcl","2023","Journal Article","","Pandu Ranga Reddy Konala
Vimal Kumar
David Bainbridge","10.1109/csr57506.2023.10224925","","… To effectively manage the infrastructure, the concepts of IaC are broken down … Infrastructure as Code (IaC). Our findings highlight the increasing importance of ensuring the quality of IaC …","This SoK paper presents findings from a survey conducted on the current state of tools and techniques used in the static configuration analysis of Infrastructure as Code (IaC). Our findings highlight the increasing importance of ensuring the quality of IaC scripts through techniques such as detecting code and security smells. Our findings reveal that regular expressions are widely used, but this may not be a long-term or fully automated solution for detecting smells. Additionally, our study found that the majority of the tools and techniques are developed for infrastructure provisioning, rather than configuration management and image building. This raises concerns because configuring software is a high-risk task, with malicious actors constantly targeting software systems. Therefore, it is crucial for researchers to develop efficient and advanced techniques for detecting defects in configuration management and image building. The aim of this paper is to provide a detailed overview of the current state of research in this field, and to identify areas for future development. "
"AI-Driven Configuration Management: Automating Infrastructure as Code (IaC)","https://scispace.com/paper/z-JHjhGKJroJ","","","","A Diefenbach","","https://www.researchgate.net/profile/Dorcas-Esther/publication/388633079_AI-Driven_Configuration_Management_Automating_Infrastructure_as_Code_IaC/links/67a012d7207c0c20fa72eac5/AI-Driven-Configuration-Management-Automating-Infrastructure-as-Code-IaC.pdf","The rapid evolution of cloud computing and DevOps practices has led to the widespread adoption of Infrastructure as Code (IaC) as a means to manage and provision infrastructure …",""
"Testing idempotence for infrastructure as code","https://scispace.com/paper/testing-idempotence-for-infrastructure-as-code-2wg4n3075s","2013","Book Chapter","International Middleware Conference","Waldemar Hummer
Florian Rosenberg
Fábio Oliveira
Tamar Eilam","10.1007/978-3-642-45065-5_19","https://inria.hal.science/hal-01480784/file/978-3-642-45065-5_19_Chapter.pdf","… We propose and evaluate a model-based testing framework for IaC. An abstracted … IaC tool (Chef), but the approach is general. We apply our framework to a large base of public IaC …","Due to the competitiveness of the computing industry, software developers are pressured to quickly deliver new code releases. At the same time, operators are expected to update and keep production systems stable at all times. To overcome the development–operations barrier, organizations have started to adopt Infrastructure as Code (IaC) tools to efficiently deploy middleware and applications using automation scripts. These automations comprise a series of steps that should be idempotent to guarantee repeatability and convergence. Rigorous testing is required to ensure that the system idempotently converges to a desired state, starting from arbitrary states. We propose and evaluate a model-based testing framework for IaC. An abstracted system model is utilized to derive state transition graphs, based on which we systematically generate test cases for the automation. The test cases are executed in light-weight virtual machine environments. Our prototype targets one popular IaC tool (Chef), but the approach is general. We apply our framework to a large base of public IaC scripts written by operators, showing that it correctly detects non-idempotent automations."
"Automated infrastructure as code program testing","https://scispace.com/paper/automated-infrastructure-as-code-program-testing-29gxo0g091","2024","Journal Article","IEEE Transactions on Software Engineering","Daniel Sokolowski
David Spielmann
Guido Salvaneschi","10.1109/tse.2024.3393070","https://www.alexandria.unisg.ch/bitstreams/a3bd8ac2-0293-4d16-8c16-d5a4f4252a09/download","… Available IaC program testing techniques severely limit the … IaC programs in many configurations quickly and with low effort. ACT automatically mocks all resource definitions in the IaC …","Infrastructure as Code (IaC) enables efficient deployment and operation, which are crucial to releasing software quickly. As setups can be complex, developers implement IaC programs in general-purpose programming languages like TypeScript and Python, using PL-IaC solutions like Pulumi and AWS CDK. The reliability of such IaC programs is even more relevant than in traditional software because a bug in IaC impacts the whole system. Yet, even though testing is a standard development practice, it is rarely used for IaC programs. For instance, in August 2022, less than 1% of the public Pulumi IaC programs on GitHub implemented tests. Available IaC program testing techniques severely limit the development velocity or require much development effort. <p xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">To solve these issues, we propose Automated Configuration Testing (ACT), a methodology to test IaC programs in many configurations quickly and with low effort. ACT automatically mocks all resource definitions in the IaC program and uses generator and oracle plugins for test generation and validation. We implement ACT in <b>ProTI</b>, a testing tool for Pulumi TypeScript with a type-based generator and oracle, and support for application specifications. Our evaluation with 6 081 programs from GitHub and artificial benchmarks shows that <b>ProTI</b> can directly be applied to existing IaC programs, quickly finds bugs where current techniques are infeasible, and enables reusing existing generators and oracles thanks to its pluggable architecture. "
"IT Infrastructure Automation Management with Infrastructure-As-Code (IAC) Modelling in Multi-Cloud Environments","https://scispace.com/paper/jsyQpaRunUEJ","","","","A Sulaiman","","https://jurnal-tmit.com/index.php/home/article/download/1421/393","… the effectiveness of Infrastructure-as-Code (IaC) modelling (… such as deployment time, configuration drift rate, and code portability … The research hypothesis states that leveraging IaC, …",""
"Infrastructure as Code: Historical Insights and Future Directions","https://scispace.com/paper/infrastructure-as-code-historical-insights-and-future-1eme1ohpvr2q","2023","Journal Article","International journal of science and research","Vijay Kartik Sikha
Dayakar Siramgari
Satyaveda Somepalli","10.21275/sr24820064820","https://www.researchgate.net/profile/Vijay-Sikha/publication/384362763_Infrastructure_as_Code_Historical_Insights_and_Future_Directions/links/66f5e16f906bca2ac3cf8c9b/Infrastructure-as-Code-Historical-Insights-and-Future-Directions.pdf","… Abstract: Infrastructure as Code (IaC) revolutionizes IT infrastructure management by … the evolution of IaC, highlighting its impact on efficiency, scalability, and security. Key IaC tools like …",": Infrastructure as Code (IaC) revolutionizes IT infrastructure management by automating provisioning and configuration through machine-readable definition files, replacing manual processes. This paper explores the evolution of IaC, highlighting its impact on efficiency, scalability, and security. Key IaC tools like Terraform, AWS CloudFormation, and Azure Resource Manager have transformed infrastructure management by enabling versioned, repeatable, and automated deployments. The integration of AI promises further advancements, including AI-assisted IaC, predictive scaling, and anomaly detection. Additionally, data centers play a crucial role in supporting AI workloads with high-performance computing resources, scalable storage, and efficient networking. As AI becomes more prevalent, energy-efficient data centers will be essential for sustainable AI infrastructure management. Case studies from Netflix, Spotify, and Expedia illustrate successful IaC implementation. The paper concludes by discussing future trends and AI-driven integration in IaC, emphasizing the importance of robust infrastructure for AI workloads."
