"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access","Abstract"
"Infrastructure as Code (IaC) in Cloud Migration: Enhancing Automation, Security and Scalability in AWS","https://scispace.com/papers/infrastructure-as-code-iac-in-cloud-migration-enhancing-rmpazk5bxp0t","2025","Journal Article","World Journal Of Advanced Research and Reviews","S. Challa","10.30574/wjarr.2025.26.2.1989","","No","This article examines the strategic implementation of Infrastructure as Code (IaC) methodologies in enterprise AWS cloud migrations, demonstrating how organizations can enhance automation, security, and scalability throughout their infrastructure lifecycle. Through analysis of implementation patterns across diverse industry sectors, the article identifies critical success factors for effective IaC adoption, including standardization through Git-based repositories, embedding security controls directly in templates, integration with CI/CD pipelines, and implementation of resilient scaling and disaster recovery mechanisms. The article combines qualitative assessment of organizational practices with quantitative metrics analysis to provide a comprehensive evaluation of IaC benefits, challenges, and emerging trends. The article reveals that organizations implementing mature IaC approaches achieve substantial improvements in deployment efficiency, configuration consistency, security posture, and operational costs while establishing foundations for future automation capabilities. The article further explores emerging technologies including AI-assisted template generation, automated drift detection, policy-as-code frameworks, and predictive scaling algorithms that represent the evolving frontier of infrastructure automation. These insights provide technology leaders with actionable guidance for implementing IaC as a strategic capability that aligns infrastructure management with broader digital transformation objectives while maintaining the governance and compliance requirements essential in enterprise environments."
"Infrastructure as code for dynamic deployments","https://scispace.com/papers/infrastructure-as-code-for-dynamic-deployments-1dkms5jq","2022","Proceedings Article","Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering","Daniel Sokolowski","10.1145/3540250.3558912","https://scispace.com/pdf/infrastructure-as-code-for-dynamic-deployments-1dkms5jq.pdf","Yes","Modern DevOps organizations require a high degree of automation to achieve software stability at frequent changes. Further, there is a need for flexible, timely reconfiguration of the infrastructure, e.g., to use pay-per-use infrastructure efficiently based on application load. Infrastructure as Code (IaC) is the DevOps tool to automate infrastructure. However, modern static IaC solutions only support infrastructures that are deployed and do not change afterward. To implement infrastructures that change dynamically over time, static IaC programs have to be (updated and) re-run, e.g., in a CI/CD pipeline, or configure an external orchestrator that implements the dynamic behavior, e.g., an autoscaler or Kubernetes operator. Both do not capture the dynamic behavior in the IaC program and prevent analyzing and testing the infrastructure configuration jointly with its dynamic behavior. To fill this gap, we envision dynamic IaC, which augments static IaC with the ability to define dynamic behavior within the IaC program. In contrast to static IaC programs, dynamic IaC programs run continuously. They re-evaluate program parts that depend on external signals when these change and automatically adjust the infrastructure accordingly. We implement DIaC as the first dynamic IaC solution and demonstrate it in two realistic use cases of broader relevance. With dynamic IaC, ensuring the program’s correctness is even harder than for static IaC because programs may define many target configurations in contrast to only a few. However, for this reason, it is also more critical. To solve this issue, we propose automated, specialized property-based testing for IaC programs and implement it in ProTI."
"PipeConf: An Integrated Architecture for the Automated Configuration of Network Assets","https://scispace.com/papers/pipeconf-an-integrated-architecture-for-the-automated-1oqi6b3h","2022","Journal Article","IEEE Transactions on Network and Service Management","Aecio Pires
Fernando B. Matos
Aldri Santos
Diego Pessoa
Paulo Ditarso Maciel","10.1109/TNSM.2022.3195382","","No","The manual management of network assets is susceptible to configuration errors, lack of standardization, a large amount of repetitive work, and little or no traceability of changes over time. The Infrastructure as Code (IaC) approach makes it possible to automate the process of configuring resources such as operating systems, network services, containers, and applications, by treating them as software and allowing standardization and configuration rollback. This paper proposes an integrated architecture based on different software tools that use the IaC approach to automate the configuration of network assets, considering different models and manufacturers. A quantitative analysis shows the architecture’s efficiency in response time and scalability. The architecture has achieved a proportional gain of 83% in the average response time to manage 128 assets, with no significant increase in processing and memory usage."
"Resolving configuration drift for computing resource stacks","https://scispace.com/papers/resolving-configuration-drift-for-computing-resource-stacks-33ouczq8r0","2020","Patent","","Hussain Amjad
Kumar Anil
Lohan Ryan John
Chakravarthy Diwakar
Lins Julio Cesar Dos Santos
Nakkeeran Prabhu Anand","","","No","This disclosure describes techniques for resolving discrepancies that occur to interrelated computing resources from computing resource drift. Users may describe computing resources in an infrastructure template. However, computing resource drift occurs when “out-of-band” modifications are made to the computing resources and are not reflected in the infrastructure template. To resolve discrepancies between the infrastructure template and the out-of-band modifications to the computing resources, a notification may be output to a user account associated with the computing resources detailing the differences. An updated infrastructure template may be received that resolves the differences, such as by including configuration settings that reflect a current state of the computing resources. The computing resources may then execute a workflow using the updated template, such that the workflow is executed on all of the computing resources in a current state."
"Adoption, Support, and Challenges of Infrastructure-as-Code: Insights from Industry","https://scispace.com/papers/adoption-support-and-challenges-of-infrastructure-as-code-596hu955ap","2019","Proceedings Article","International Conference on Software Maintenance","Michele Guerriero
Martin Garriga
Damian A. Tamburri
Fabio Palomba","10.1109/ICSME.2019.00092","","No","Infrastructure-as-code (IaC) is the DevOps tactic of managing and provisioning infrastructure through machine-readable definition files, rather than physical hardware configuration or interactive configuration tools. From a maintenance and evolution perspective, the topic has picked the interest of practitioners and academics alike, given the relative scarcity of supporting patterns, best practices, tools, and software engineering techniques. Using the data coming from 44 semistructured interviews to senior developers of as many companies, in this paper we shed light on the state of the practice in the adoption of IaC and the key software engineering challenges in the field. Particularly, we investigate (i) how practitioners adopt and develop IaC, (ii) which support is currently available, i.e., the typically used tools and their advantages/disadvantages, and (iii) what are the practitioner's needs when dealing with IaC development, maintenance, and evolution. Our findings clearly highlight the need for more research in the field: the support provided by currently available tools is still limited, and developers feel the need of novel techniques for testing and maintaining IaC code."
"Автоматизація міграції програмного забезпечення у хмарну архітектуру із використанням інструменту інфраструктури як код Terraform у середовищі AWS","https://scispace.com/papers/avtomatizatsiia-migratsiyi-programnogo-zabezpechennia-u-4rjrc04t7fnn","2024","Journal Article","Komp'ûterno-ìntegrovanì tehnologìï: osvìta, nauka, virobnictvo","S. Behlitsov","10.36910/6775-2524-0560-2024-56-12","","No","У цій статті розглядається комплексний підхід до автоматизації надання інфраструктури за допомогою Terraform і AWS. Основною метою цього дослідження було оптимізувати розгортання та керування хмарними ресурсами за допомогою практик інфраструктури як коду (IaC). Стаття починається з пояснення фундаментальних принципів інфраструктури як коду, підкреслюючи її переваги з точки зору послідовності, повторюваності та співпраці. Центральне місце в цій методології займає Terraform, інструмент із відкритим кодом, розроблений для декларативного керування конфігурацією. Здатність Terraform визначати компоненти інфраструктури за допомогою простих, зрозумілих для людини файлів конфігурації забезпечує потужний механізм для надання та керування хмарними ресурсами в різних провайдерів. Ключовим моментом реалізації є використання AWS як хмарного провайдера. AWS пропонує широкий спектр послуг, від обчислювальних екземплярів (EC2) до керованих баз даних (RDS) і безсерверних обчислень (Lambda). У статті розглядаються конкретні випадки використання, коли Terraform використовується для автоматизації надання ресурсів AWS, таких як екземпляри EC2 для масштабованих веб-додатків, бакети S3 для зберігання об’єктів і конфігурації VPC для ізоляції мережі. Важливим аспектом, який обговорюється в статті, є керування станом Terraform, який відстежує поточний стан розгорнутих ресурсів і полегшує співпрацю між членами команди. Стратегії обробки файлів стану, включно з конфігураціями віддаленої серверної частини за допомогою Amazon S3 для блокування, вивчаються, щоб забезпечити узгодженість і уникнути конфліктів під час одночасного розгортання. Крім того, стаття стосується модулів Terraform, які інкапсулюють багаторазові конфігурації для різних компонентів інфраструктури, сприяючи багаторазовому використанню коду та зручності обслуговування. Завдяки модульній конфігурації команди можуть стандартизувати найкращі практики та застосовувати політики в різних середовищах, від розробки до виробництва. Інтеграція Terraform з конвеєрами CI/CD автоматизує тестування та розгортання змін інфраструктури, сприяючи гнучкості та зменшуючи ручне втручання. Ця автоматизація не тільки прискорює доставку оновлень інфраструктури, але й підвищує загальну надійність системи за допомогою автоматизованого тестування та механізмів відкату."
"PipeConf: Uma Arquitetura Integrada Para Configuração Automatizada De Ativos De Rede Heterogêneos","https://scispace.com/papers/pipeconf-uma-arquitetura-integrada-para-configuracao-fkngdej7qdfi","","","","Aécio S. Pires
Paulo D. Maciel Jr.
Diego Pessoa
Fernando Matos
Aldri Santos","10.5753/wgrs.2021.17189","","No","O gerenciamento manual de ativos de rede está suscetível a erros de configuração, falta de padronização, grande quantidade de trabalho repetitivo e pouca ou nenhuma rastreabilidade de alterações ao longo do tempo. A abordagem Infrastructure as Code (IaC) permite automatizar o processo de configuração de recursos como sistemas operacionais, serviços de rede, contêineres e aplicações, tratando-os como software e possibilitando a padronização e reversão da configuração. Este artigo propõe uma arquitetura integrada a partir de ferramentas de softwares diferentes e que usam a abordagem IaC, a fim de automatizar a configuração de ativos de rede, considerando diferentes modelos e fabricantes. Uma avaliação quantitativa mostra a eficiência da arquitetura em tempo de resposta e escalabilidade. A arquitetura obteve um ganho proporcional de 83% no tempo médio de resposta para gerenciar 128 ativos, sem aumento significativo no uso de processamento e memória."
"Infrastructure as Code (IaC) and Its Role in Achieving DevOps Goals","https://scispace.com/papers/infrastructure-as-code-iac-and-its-role-in-achieving-devops-392vpj7543","2023","Journal Article","International journal of science and research","Dinesh Reddy Chittibala","10.21275/sr24304170702","","No","In the evolving landscape of software development, DevOps has emerged as a pivotal philosophy, blending software development (Dev) with information technology operations (Ops) to shorten the development lifecycle and provide continuous delivery with high software quality.Central to this paradigm is the concept of Infrastructure as Code (IaC), a practice that programmatically manages and provisions infrastructure through code rather than through manual processes. This paper delves into the integral role of IaC in actualizing DevOps objectives, highlighting how it catalyzes automation, ensures consistency and standardization, facilitates rapid deployment, and enhances collaboration. Through a comprehensive analysis, we explore how IaC not only automates and streamlines operations but also embeds compliance and security into the development process, aligning closely with the DevOps ethos of swift, reliable, and frequent deployments. Additionally, the paper addresses the challenges inherent in implementingIaC within a DevOps framework and proposes best practices to navigate these complexities effectively.The future of software development and IT operations is envisaged as a continuum where IaC and DevOps co -evolve, paving the way for more agile, efficient, and secure IT infrastructure management."
"Systematic Analysis of Infrastructure as Code Technologies","https://scispace.com/papers/systematic-analysis-of-infrastructure-as-code-technologies-3agbjvr6u3","2023","Journal Article","Gazi university journal of science part a:engineering and innovation","Erdal Özdoğan
Onur Ceran
Mutlu Tahsin Üstündağ","10.54287/gujsa.1373305","","No","“Infrastructure as Code” technologies are the network automation concept used in configuring network devices, allocating network resources, and deploying developed applications. By using machine-readable codes, various tasks that previously required time and effort can now be done dynamically with infrastructure as code tools. Although Infrastructure as Code is a technology that brings many advantages and is still at the beginning of its popularity, there are not enough resource in the literature. In this study, the key concepts of Infrastructure as Code technologies are discussed and infrastructure as code tools are systematically examined. The four most used Infrastructure as Code tools were examined in terms of management, language, data representation, code approach, stateful and stateless, architectural perspectives. Also, they were compared over these key concepts."
"GLITCH: Automated Polyglot Security Smell Detection in Infrastructure as Code","https://scispace.com/papers/glitch-automated-polyglot-security-smell-detection-in-3j01x3ij","2022","Proceedings Article","International Conference on Automated Software Engineering","Nuno Saavedra
João F. Ferreira","10.1145/3551349.3556945","","Yes","Infrastructure as Code (IaC) is the process of managing IT infrastructure via programmable configuration files (also called IaC scripts). Like other software artifacts, IaC scripts may contain security smells, which are coding patterns that can result in security weaknesses. Automated analysis tools to detect security smells in IaC scripts exist, but they focus on specific technologies such as Puppet, Ansible, or Chef. This means that when the detection of a new smell is implemented in one of the tools, it is not immediately available for the technologies supported by the other tools — the only option is to duplicate the effort. This paper presents an approach that enables consistent security smell detection across different IaC technologies. We conduct a large-scale empirical study that analyzes security smells on three large datasets containing 196,755 IaC scripts and 12,281,251 LOC. We show that all categories of security smells are identified across all datasets and we identify some smells that might affect many IaC projects. To conduct this study, we developed GLITCH, a new technology-agnostic framework that enables automated polyglot smell detection by transforming IaC scripts into an intermediate representation, on which different security smell detectors can be defined. GLITCH currently supports the detection of nine different security smells in scripts written in Ansible, Chef, or Puppet. We compare GLITCH with state-of-the-art security smell detectors. The results obtained not only show that GLITCH can reduce the effort of writing security smell analyses for multiple IaC technologies, but also that it has higher precision and recall than the current state-of-the-art tools."
"Analyzing Infrastructure as Code to Prevent Intra-update Sniping Vulnerabilities","https://scispace.com/papers/analyzing-infrastructure-as-code-to-prevent-intra-update-1ctwzprvru","2021","Book Chapter","Tools and Algorithms for Construction and Analysis of Systems","Julien Lepiller
Ruzica Piskac
Martin Schäf
Mark Santolucito","10.1007/978-3-030-72013-1_6","https://scispace.com/pdf/analyzing-infrastructure-as-code-to-prevent-intra-update-1ctwzprvru.pdf","Yes","Infrastructure as Code is a new approach to computing infrastructure management that allows users to leverage tools such as version control, automatic deployments, and program analysis for infrastructure configurations. This approach allows for faster and more homogeneous configuration of a complete infrastructure. Infrastructure as Code languages, such as CloudFormation or TerraForm, use a declarative model so that users only need to describe the desired state of the infrastructure. However, in practice, these languages are not processed atomically. During an upgrade, the infrastructure goes through a series of intermediate states. We identify a security vulnerability that occurs during an upgrade even when the initial and final states of the infrastructure are secure, and we show that those vulnerability are possible in Amazon’s AWS and Google Cloud. We call such attacks intra-update sniping vulnerabilities. In order to mitigate this shortcoming, we present a technique that detects such vulnerabilities and pinpoints the root causes of insecure deployment migrations. We implement this technique in a tool, Hayha, that uses dataflow graph analysis. We evaluate our tool on a set of open-source CloudFormation templates and find that it is scalable and could be used as part of a deployment workflow."
"Preliminary Investigation into a Security Approach for Infrastructure as Code","https://scispace.com/papers/preliminary-investigation-into-a-security-approach-for-2yqmb86ugq","2023","Book Chapter","","Ammar Zeini
Ruth Lennon
Patrick A. Lennon","10.1007/978-981-99-3091-3_63","","No","IaC is relatively a novel technology, with the result that many security frameworks don’t have a clear strategy for risk management or threat modelling for infrastructure when implementing IaC techniques. In DevOps, infrastructure is initialized, prepared, managed, and configured with a left-shift on quality. The DevOps methodology increases the integrity and stability of the deployment. IaC works best with DevOps practices for code quality, scalability, security, and reliability. Infrastructure as Code (IaC) promotes managing knowledge and experience through reusable scripts of infrastructure code, instead of the traditional method of manual labour technique, which is typically slow and time-consuming. This research determines some security risks that should considered during the IaC development process. It further defines the main security practices that should be added into Infrastructure as Code life cycle to fill the gap in the SDLC for IaC. An initial proposal to secure pipelines for IaC is presented."
"What Do Infrastructure-as-Code Practitioners Discuss: An Empirical Study on Stack Overflow","https://scispace.com/papers/what-do-infrastructure-as-code-practitioners-discuss-an-2zpxw4yhyx","2023","Journal Article","","Mahi Begoug
Narjess Bessghaier
Ali Ouni
Eman Abdullah AlOmar
Mohamed Wiem Mkaouer","10.1109/esem56168.2023.10304847","","No","Background. Infrastructure-as-Code (IaC) is an emerging practice to manage cloud infrastructure resources for software systems. Modern software development has evolved to embrace IaC as a best practice for consistently provisioning and managing infrastructure using various tools such as Terraform and Ansible. However, recent studies highlighted that developers still encounter various challenges with IaC tools. Aims. We aim in this paper to understand the different challenges that developers encounter with IaC and analyze the trend of seeking assistance on Q&A platforms in the context of IaC. To this end, we conduct a large-scale empirical study investigating developers' discussions in Stack Overflow. Method. We first collect IaC-relevant tags on Stack Overflow, constituting a dataset that comprises 52,692 questions and 64,078 answers. Then, we group questions into specific topics using the Latent Dirichlet Allocation (LDA) method, which we optimize using a Genetic Algorithm (GA) for parameter's fine-tuning. Finally, to gain better insights, we analyze the identified topics based on different criteria such as popularity and difficulty. Results. Our findings reveal an average yearly increase of 150% in terms of IaC-related questions and 135% in terms of users between 2011 and 2022. Furthermore, we observe that IaC questions revolve around seven main topics: server configuration, policy configuration, networking, deployment pipelines, variable management, templating, and file management. Notably, we found that server configuration and file management are the most popular topics, i.e., the most discussed among IaC developers, while the deployment pipelines and templating topics are the most difficult. Conclusions. Our results shed light on IaC challenges that are often encountered by developers on popular Q&A platforms. These findings reveal important implications for practitioners seeking better support for IaC tools in real-world settings and for researchers to better understand the IaC community needs and further investigate IaC in different aspects."
"Infrastructure as code: A paradigm shifts in cloud resource management and deployment automation","https://scispace.com/papers/infrastructure-as-code-a-paradigm-shifts-in-cloud-resource-j89640w0s6lx","2025","Journal Article","World Journal of Advanced Engineering Technology and Sciences","Ajay Varma Indukuri","10.30574/wjaets.2025.15.1.0478","","No","This article examines the emergence of Infrastructure as Code (IaC) as a transformative approach to cloud resource management, analyzing its impact on organizational agility and operational consistency. Through a systematic review of contemporary implementation strategies and tooling frameworks, the article explores how IaC principles have fundamentally altered traditional cloud deployment paradigms by enabling programmatic control of infrastructure. The article investigates the symbiotic relationship between IaC methodologies and DevOps practices, highlighting how this convergence facilitates enhanced collaboration between development and operations teams while simultaneously addressing scalability challenges inherent in manual provisioning processes. Drawing upon case studies from diverse industry sectors, the article evaluates both the technical and organizational dimensions of successful IaC adoption, providing insights into implementation patterns, common pitfalls, and emerging best practices. The article suggests that organizations embracing IaC as part of a broader automation strategy experience significant improvements in deployment reliability, security posture, and operational efficiency, while simultaneously reducing the cognitive overhead associated with infrastructure management in complex multi-cloud environments."
"Cloud Infrastructure Self Service Delivery System using Infrastructure as Code","https://scispace.com/papers/cloud-infrastructure-self-service-delivery-system-using-1x78pd1s","2022","Proceedings Article","","Ankita Dalvi","10.1109/ICCCIS56430.2022.10037603","","No","To succeed in cloud adoption and thrive in multi-cloud environments, most organizations develop centralized platform teams. The primary function of these centralized platform teams popularly known as Cloud Center of Excellence (CCoE) teams is to industrialize application delivery. The platform teams which are made up of individuals who provision, run and manage shared infrastructure in cloud environments across teams, act on the requests generated by developers. This activity is time-consuming and prone to manual errors. This paper defines a system that enables developers to access platform capabilities on-demand using templates via a self-service mechanism. Application delivery in cloud environments may evolve into proven repeated patterns useful for standardizing how people function and what tools they consume and which process they follow. These standardized steps can be converted into a template made with infrastructure as Code. Using this system, the developers can launch their required resources using templates without intervention from platform teams while adhering to internal compliance of the organization. These templates built using Infrastructure as Code (IaC) by the platform teams make it easy to create new resources in the cloud and release new capabilities more quickly; ensuring that desired configurations are set by Infrastructure, Network, Security, and Operations Engineers."
