Paper Number,Title,Authors,Journal,Publication,Year,Summary
31,Sreeja Reddy Challa *,Authors not extracted,Advanced Engineering Technology and Sciences,Advanced Engineering Technology and Sciences,2025,"Objectives: We present a maturity model for implementation, an economic analy sis demonstrating typical ROI within 9 -14 months, and organizational considerations for successful adoption. | Methodology: frameworks using Lambda and Step Functions, and event -driven governance through AWS Config and Security Hub. | Contributions: novel issues and correlate seemingly unrelated events. | Limitations: challenges and limitations of autonomous cloud engineering, including the need for appropriate human oversight, the technical complexity of implementation, and organizational change management requirements."
37,International Journal on Science and Technology (IJSAT),Authors not extracted,on Science and Technology (IJSAT),on Science and Technology (IJSAT),2022,"Objectives: Objectives: • To develop an automated infrastructure deployment framework that integrates seamlessly embedded policy enforcement to ensure that all infrastructure changes adhere to predefined security and governance requirements across the deployment life cycle. | Methodology: model that combines IaC and PaC to automate infrastructure provisioning and policy enforcement in a consistent way throughout the deployment pipeline. | Contributions: novel architecture and framework for access control policy specification and enforcement, J. | Limitations: challenge because the architectures are dynamic and distributed in nature and need instant provisioning, perpetual updates, and smooth scaling across a wide variety of cloud environments."
38,"International Journal of Scientific Research in Computer Science, Engineering",Authors not extracted,of Scientific Research in Computer Science,of Scientific Research in Computer Science,2024,"Objectives: This article examines the implementation and impact of Infrastructure as Code (IaC) practices using Ansible and Terraform across various industries. | Methodology: approach, enabling the automation and versioning of infrastructure provisioning and management [1]. | Key Findings: 30% reduction; 40% increase; 50% faster recovery times; 50% faster. | Contributions: contribute by: ● Implementing high -availability configurations consistently ● Automating failover and disaster recovery processes ● Ensuring consistent performance across distributed healthcare facilities 5. | Limitations: challenges faced by specific organizations."
41,ARPaCCino: An Agentic-RAG for Policy as Code,Authors not extracted,arXiv:2507.10584v2 [cs.SE] 4 Nov 2025,arXiv:2507.10584v2 [cs.SE] 4 Nov 2025,2025,"Objectives: aim to re- duce operational errors, accelerate provisioning, and support continuous updates throughout the development and operations lifecycle. | Methodology: approach significantly im- proves automation, scalability, reproducibility, and consistency across the entire service lifecycle. | Contributions: contributions of this work can be summarized as follows: –WeproposeanovelapproachtoPolicyasCodegenerationandInfrastructure as Code validation, leveraging agentic systems that combine LLMs, RAG, and external tool integrations. | Limitations: limitations of current IaC and PaC practices, supporting their deeper integration into standard industry workflows."
52,Terraform and AWS CDK: A Comparative Analysis of,Authors not extracted,Journal not extracted,Journal not extracted,2024,"Objectives: this study aims to compare Terraform and CDK across four aspects: abstraction, scala- bility, maintainability, and performance. | Methodology: techniques and protocols created to support the re- liable and effective delivery of software are included in the DevOps culture [ 7]. | Contributions: in conclusions and trends observed in the experts’ responses are discussed as follows. | Limitations: challenges?"" and""In terms of mainta- inability, what are the best practices for organizing and managing Terraform code over time? And for CDK?"" A total of 12 questions were structured for the interviews."
57,Software and Emerging Technologies Lab (SAET),Authors not extracted,arXiv:2501.07676v2 [cs.SE] 20 Jan 2025,arXiv:2501.07676v2 [cs.SE] 20 Jan 2025,2022,"Objectives: aim to uncover common sustainability smells that impact resource efficiency and environmental sustainability in cloud infrastructure. | Methodology: system configurations, and infrastructure through source code [3]. | Key Findings: 9.67% of the scripts; 1.3% of global energy demand; 20% of global electricity and emit up to 5; 5% of the world; 69% of the practitioners work with and develo; 34.1% of them using Terraform. | Contributions: Novel Cost Based Model for Energy Consumption in Cloud Computing,” The Scientific World Journal, vol. | Limitations: challenges that motivate our study, particularly regarding sustainability standards in IaC."
65,Quality Assurance for Infrastructure Orchestrators:,"Computer Science, Tuskegee University",Science and Software Engineering,Science and Software Engineering,2022,Objectives: —Infrastructure as code (IaC) is the practice of auto- matically managing computing infrastructure at scale | Methodology: systematic investigation of defects that occur for infrastructure orchestrators can lay the groundwork for future research. | Key Findings: 0.06% of the defect; 16.5% are the types of builtin; 20.3% of the 22; 0.06% Command Line Interface; 2.39% Collection This component is responsible; 0.01% Compatibility This component facilitates. | Contributions: Contribution is an empirical analysis of defects in components within the Ansible infrastructure orchestrator. | Limitations: limitation by using another rater who is the last author.
66,Latest updates: hps://dl.acm.org/doi/10.1145/3660790,"Mahadi Hassan, John Salvador, Shubhra Kanti",the ACM on Soware Engineering,the ACM on Soware Engineering,2026,Methodology: we apply qualitative analysis to categorize state reconciliation defects. | Contributions: Contributions: Welist our contributionsasfollows: •A derivedlist of defects categories forstatereconciliationin IaC; •An empirical evaluation of how frequentlyidenti/f_ieddefectcategories occur;and •A technique that uses identi/f_ied defect categories to perform validation related to state reconcili- ation. | Limitations: limitations of our paperasfollows: ConclusionValidity :Theidenti/f_ieddefectcategoriesforRQ1arelimitedtothecommitmessages andissuereportsthatweminedfromtheAnsiblerepository.
85,IaC Generation with LLMs: An Error Taxonomy and A Study on Configuration,"Augmented Generation, Knowledge Injection",ACM Reference Format:,ACM Reference Format:,2025,"Objectives: This research investigated methods to improve LLM-based IaC generation, specifically for Terraform, by systematically injecting structured configuration knowledge. | Methodology: techniques was implemented and evaluated, progressing from Naive Retrieval-Augmented Generation (RAG) to more sophisticated Graph RAG approaches. | Key Findings: 27.1% overall success; 75.3% and overall success to 62; 27% success rates on IaC generation tasks; 80% on general programming benchmarks. | Contributions: we propose enhancements to address each of the identified limitations. | Limitations: challenges of the IaC domain and the necessity for specialized approaches."
87,"Pandu Ranga Reddy Konala†, Vimal Kumar†, David Bainbridge†, Junaid Haseeb†","Waikato Hamilton, New Zealand",arXiv:2502.03127v1 [cs.SE] 5 Feb 2025,arXiv:2502.03127v1 [cs.SE] 5 Feb 2025,2025,"Objectives: This paper proposes a new IaC code quality framework specifically showcased for Ansible repositories as a foundation. | Methodology: framework offers practitioners a systematic tool for assessing and enhancing IaC scripts, fostering standardization and facilitating continuous improvement. | Key Findings: 100% SaltStack. | Contributions: We propose a framework consisting of a set of quality categories that capture the uniqueness of IaC code as opposed to general software. | Limitations: limitations, the section provides insights into tool usage and discusses methodologies for code quality evaluation and assurance."
88,Learning (ML) classifiers to distinguish insecure configurations from safe code.,"Security Smell, Machine Learning",arXiv:2509.18790v1 [cs.CR] 23 Sep 2025,arXiv:2509.18790v1 [cs.CR] 23 Sep 2025,2025,"Objectives: This study addresses the aforementioned challenges by significantly enhancing misconfiguration de- tection through the innovative integration of advanced Machine Learning (ML) approaches with state- of-the-art large language models (LLMs) such as GPT-3. | Methodology: approach on misconfiguration datasets from two widely used IaC tools, Ansible and Puppet. | Contributions: novel or context-dependent misconfigurations that deviate from predefined rules [11, 12]. | Limitations: limitation highlights a critical need for more sophisticated approaches that can interpret the intended meaning and contextual relationships within IaC code, moving beyond simple syntactic checks to identify subtle yet critical security flaws."
89,Security Smells in Ansible and Chef Scripts: A Replication Study,"Akond Rahman, Md Rayhanur",ACM Reference Format:,ACM Reference Format:,2020,"Objectives: Goal: The goal of this paper is to help practitioners avoid insecure coding practices while developing infrastructure as code scripts through an empirical study of security smells in Ansible and Chef scripts. | Methodology: systematically identify security smells for other languages namely, Ansible and Chef. | Key Findings: 210% in time savings and 97. | Contributions: Contributions : Compared to our prior research [ 37] in which we reported findings specific to Puppet, we make the following additional contributions: •A list of security smells for Ansible and Chef scripts that include two categories not reported in prior work[ 37]; •An evaluation of security smell frequency occurring in Ansible and Chef scripts. | Limitations: limitations in Section 8, and conclude our paper in Section 9."
90,The Ultimate Configuration Management Tool?,"Lisbon Lisbon, Portugal Alexandra",Journal not extracted,Journal not extracted,2026,"Objectives: aim to deepen the understanding of the chal- lenges faced by Ansible users. | Methodology: Modeling 1 Introduction Infrastructure as Code (IaC) has emerged as a critical paradigm in modern software engineering, enabling organizations to automate the configuration, provisioning, and management of IT infrastruc- ture. | Key Findings: 80% of all attribu. | Contributions: contributions are: •A large-scale empirical analysis of 59,157 online discussions from Stack Overflow, Reddit, and the Ansible Forum to identify common challenges and issues in Ansible. | Limitations: challenges, such as unintuitive debug- ging mechanisms, inconsistent behaviors, and complex learning curves."
96,"European M odern Studies Journal, 2025, 9(5 ) AWS Compliance Acceleration: Integrating Preventive, Detective, and","Compliance Automation, Cloud Governance",Journal Vol 9 No 5,Journal Vol 9 No 5,2025,"Methodology: Framework, Preventive Cloud Controls, Compliance Monitoring Systems, Infrastructure as Code Security European Modern Studies Journal journal -ems. | Limitations: challenges maintain ing consistent protection across dozens of accounts, addressing both programmatic and manual resource creation methods, and ensuring standardized controls function correctly across hundreds of distinct services."
100,"Víctor Gallego-Fontenla, Juan C. Vidal, and Manuel Lama",Authors not extracted,arXiv:1907.04276v1 [cs.AI] 9 Jul 2019A Conformance Checking-bas,arXiv:1907.04276v1 [cs.AI] 9 Jul 2019A Conformance Checking-bas,Unknown,"Objectives: we present C2D2 (Conformance Checking-based Drift Detection), a new approach to detect sudden control-ﬂow cha nges in the process models from event traces. | Methodology: techniques with conformance checking methods to perform an ofﬂine detection. | Contributions: novel and fully automatic approach based on discovery and conformance checking teckniques for ofﬂin e detection of sudden concept drifts in the control-ﬂow of pro cess models. | Limitations: challenges: a) the inherent complexity of process models, t hat can contain and combine different structures such as sequen ces, loops, parallel branches and choices; and b) the distinctio n between a change and an outlier, which is not always clear and may depend on the application domain."
104,U.S. Food and Drug Administration,Authors not extracted,Science and Engineering Laboratories,Science and Engineering Laboratories,2024,"Objectives: We propose a ML-enabled Statistical Process Control (SPC) framework for out-of- distribution (OOD) detection and drift monitoring. | Methodology: methods often fail with data that deviates from their training distribution. | Contributions: We propose a framework for OOD detection and drift monitoring that is agnostic to data, modality, and model. | Limitations: challenge is common in supervised machine learning models, which are often designed to classify inputs into predetermined classes and may struggle with unknown or irrelevant inputs [ 2,3]."
107,Data drift detection and mitigation: A comprehensive MLOps approach for real -time,Authors not extracted,of Science and Research Archive,of Science and Research Archive,2024,"Objectives: this work aims to achieve The study explores different forms of data drift and their consequences, especially on real -time systems, the tools and methods used in monitoring the drift and methods used in containing the same. | Methodology: methods of its prevention within the framework of MLOps. | Key Findings: 80% indicates significant drift. | Contributions: contributes to prior probability drift is the increase in fraud transactions during the holiday seasons. | Limitations: Constraints The identification of drifts also needs to happen in real -time, although it should not burden the system with considerable latency."
108,Context-Aware Drift Detection,Recht et al.,the 39thInternational Conference on Machine,the 39thInternational Conference on Machine,2019,"Objectives: When monitoring machine learning systems, two- sample tests of homogeneity form the foundation upon which existing approaches to drift detection build | Methodology: models are designed to operate on unseen data sharing the same underlying distribution as a set of historical training data. | Contributions: We propose using k-fold cross-validation to identify regularisation pa- rameters that minimise the validation error in this regression problem. | Limitations: future work we intend to further explore how certain com- binations of contexts and statistics may be used to target certain types of drift, such as covariate drift into regions of high epistemic uncertainty."
113,"Jan Mendling1r000000027260524Xs, and Artem Polyvyanyy2r0000000276721643s",Maaradji et al.,arXiv:1907.06386v1 [cs.AI] 15 Jul 2019,arXiv:1907.06386v1 [cs.AI] 15 Jul 2019,2019,"Objectives: objective is to explain the change of the system’s behavior in a dynamically changing non-stationary environment based on some hidden context [11]. | Methodology: models 1 Introduction The availability of data has extended conceptual modeling as a research ﬁeld of manually created models with automatic techniques for generating models from data. | Contributions: novel technique for process drift detection, called Visual Drift Detection (VDD), which addresses the identiﬁed research gap. | Limitations: constraints [ 2,10] and time series analysis [ 6]."
114,Towards Non-Parametric Drift Detection via Dynamic Adapting Window,Ditzler et al.,the 37thInternational Conference on Machine,the 37thInternational Conference on Machine,2020,"Objectives: aims for non-parametric drift detection of diverse drift characteristics. | Methodology: models are subject to seasonal changes, changed demands of individual costumers, ageing of sensors, etc. | Key Findings: 2x andh2H. | Contributions: contribution is threefold: (I) We formalize two different notions of drift which are used in the literature, namely drift as change of probabili- ties, and drift as change of a loss function, which is used for popular drift detection methods, and we show the equiva- lence of these notions; (II) we provide a novel mathematical Towards non-parametric"
119,Tackling data and model drift in AI: Strategies for maintaining accuracy during ML,Authors not extracted,of Science and Research Archive,of Science and Research Archive,2023,"Objectives: In machine learning (ML) and artificial intelligence (AI), model accuracy over time is very important, particularly in dynamic environments where data and relationships change | Methodology: methods, and online learning models to enhance adaptability. | Contributions: novel means of addressing the crisis of drift management in the field of AI. | Limitations: Challenges in Managing Drift Despite effective strategies to handle Drift in machine learning models, several challenges exist."
125,Open-Source Drift Detection Tools in Action:,"Oy Helsinki, Finnland Davor",ACM Conference (Conference’17). ACM,ACM Conference (Conference’17). ACM,2024,"Objectives: we present a mi- crobenchmark study, called D3Bench, which evaluates the efficacy of open-source drift detection tools. | Methodology: algorithms is broadly intertwined with the quality of the data used for both training and serving purposes [1]. | Contributions: In summary, there is a recognizable data drift in the input variables 𝑥, but no such drift is de- tected in the target variable 𝑦. | Limitations: challenge that can compromise both model performance and data integrity is the phenomenon of data drift."
126,Federated Learning Drift Detection: An Empirical Study on the Impact of Concept,"Tartu Tartu, Estonia Email",Journal not extracted,Journal not extracted,Unknown,"Objectives: This paper proposes a novel drift detection and management methodology within federated environments. | Methodology: systematically evaluates the impact of drift on model performance metrics, including accuracy, F1 score, Cohen’s kappa, and ROC. | Contributions: contribute to the final decision based on their accuracy. | Limitations: challenges of model drift in FL environments."
136,", Volker Schatz1, Norbert Scherer-Negenborn1, Michael Arens1and","Physical Geodesy, Technical University",mdpi.com/journal/sensors,mdpi.com/journal/sensors,2019,Objectives: This article presents a new method for obtaining the curve without additional hardware and clock drift correction without the PLL integrator. | Methodology: approach to the estimation of signal power correction curves requires additional measurement equipment. | Contributions: Contributions: The idea for the power self-calibration algorithm as well as the clock drift correction was done by J.
137,"Naila Ardelia1, Lindawati1*, Nurhajar Anugra ha1",Authors not extracted,Journal not extracted,Journal not extracted,2024,"Objectives: This research aims to compare the implementation of deployment automation using Google Cloud Deployment Manager and Terraform. | Methodology: method that provides shared computing resources, including applications, computing , storage, networking, development, and deployment platforms, as well as business processes [1]. | Key Findings: 20% Very Poor 21; 40% Poor 41; 60% Average 61; 80% Good 81; 100% Excellent Performance comparison using GT. | Contributions: Novel Google Kubernetes and Microsoft Kubernetes to compare the performance of these two tools."
145,Configuration and compliance automation in modern networks: A framework for,Authors not extracted,Advanced Engineering Technology and Sciences,Advanced Engineering Technology and Sciences,2025,"Objectives: This article examines the critical role of configuration and compliance automation in addressing these challenges, offering a structured approach to standardizing network configurations, detecting deviations from established baselines, and enforcing securi ty policies. | Methodology: frameworks, in cluding centralized policy repositories, configuration management tools, continuous monitoring systems, and automated remediation workflows. | Key Findings: 217% since 2020; 83% of network administrators spend over 60; 71% of organizations experienced at least two; 74% of all network outages; 68% of these cases; 76% of organizations struggle with ensuring c. | Limitations: challenges are compounded by human error, accounting for approximately 74% of all network outages, with misconfigurations being identified as the primary contributor in 68% of these cases."
147,"Rosana Noronha Gemaque1,2| Albert França Josuá Costa1,3| Rafael Giusti1|","Noronha Gemaque, Albert Fran",Journal not extracted,Journal not extracted,2019,Objectives: this work presents a comprehensive over- view of approaches that tackle concept drift in classification problems in an unsupervised manner. | Methodology: models that operate in this context must be updated over time. | Key Findings: 85% supervised; 5% unsupervised. | Contributions: contribution includes a proposed taxonomy of state-of-the-art approaches for concept drift detection based on unsupervisedstrategies. | Limitations: limitation inspired Sethi and Kantardzic (2017) to propose an improved version of MD3 to avoid the aforemen- tioned drawback of the first version.
148,"Anton Y eshchenko, Claudio Di Ciccio, Jan Mendling, and Artem Polyvyanyy","Di Ciccio, Jan Mendling",IEEE TRANS. VIS. COMPUT. GRAPH.,IEEE TRANS. VIS. COMPUT. GRAPH.,2021,"Objectives: aims to support process analysts by facilitating the visual analysis [19] of process drifts. | Methodology: techniques is an ongoing research challenge. | Key Findings: 20x X 1 Visual Drift Detection for; 20x X 2 Figure 1; 20x X 3 Figure 2. | Contributions: novel system for process drift detection, named Visual Drift Detection (VDD), which addresses the identiﬁed research gap. | Limitations: constraints [20], [21] and time series analysis [22]."
150,8 Fig. 3. Comparison of multi-center schemes break-down by drift types and window-size conditions,Authors not extracted,data de-identification,data de-identification,Unknown,Objectives: aims to enable adaptable and localized detection of drift while also supporting global aggregation of drift signals across all agents. | Methodology: framework for detecting drift and assessing its sever-ity in multisite clinical AI systems. | Key Findings: 10.3% in drift detection; 74.3% for drift detection and 83; 7% for drift severity classifi. | Contributions: we propose an agent-based drift monitoring framework suitable for mul-tisite CDSS with dedicated drift monitoring agents to each clinical site.
152,"Hyderabad, IndiaKancheti Sai Srinivas","Technology Hyderabad, India Vineeth",Joint International Conference on Data Science and Management of Data,Joint International Conference on Data Science and Management of Data,2018,"Objectives: purposes: (i) Retain an accurate model and (ii) Discovery of knowledge or insights about change in the relationship between input features and output variable w. | Methodology: method is superior to existing interpretable methods (especially on real-world datasets) and on par with state- of-the-art black-box drift detection methods. | Contributions: we propose feature-inTeraction awaRe InterPretable mOdel Drift Detection (TRIPODD), a method that leverages hypothesis testing and model risk to detect model drift and simultaneously interpret it w."
153,Université Côte d’Azur,Authors not extracted,arXiv:2203.04769v2 [stat.ML] 11 Jun 2023,arXiv:2203.04769v2 [stat.ML] 11 Jun 2023,2023,Objectives: we propose a new concept drift detection method based on autoregressive models called ADDM . | Methodology: approach is theoretically guaranteed as well as empirical and effective for the detection of various concept drifts. | Contributions: we propose to integrate an autogressive time series model inside the machine learning loop by considering the model’s error as a time series. | Limitations: future works we aim to use auto-regressive models to detect concept drifts using directly the input data instead of the error rate or the model’s uncertainty.
154,Demo: LE3D: A Privacy-preserving Lightweight,Authors not extracted,nature of these sensors,nature of these sensors,2022,Objectives: This paper presents LE3D; a novel data drift detec- tion framework for preserving data integrity and conﬁdentiality. | Methodology: framework is publicly available at github. | Contributions: novel lightweight data drift detection frame- work.
155,Noname manuscript No.,"Vitor Cerqueira, Heitor Murilo",arXiv:2103.00903v1 [cs.LG] 1 Mar 2021,arXiv:2103.00903v1 [cs.LG] 1 Mar 2021,2021,Objectives: goal in this paper is to address concept drift detection in an unsuper- vised manner. | Methodology: approach can detect concept drift and present a competitive behaviour relative to the state of the art approaches. | Contributions: we propose a novel approach to tackle this problem using a student{teacher learning paradigm called STUDD (Student{ Teacher approach for Unsupervised DriftDetection). | Limitations: challenge for learning algorithms that rely on concept drift detection as the unavailability of the labels precludes their application [17].
156,"Index Terms—Concept drift, unsupervised learning, machine",Authors not extracted,arXiv:2506.08734v2 [stat.ML],arXiv:2506.08734v2 [stat.ML],2020,Objectives: goal is to detect whetherP R(x) =P D(x). | Methodology: algorithm that uses classical statistical process control in a label-less setting to accurately detect concept drifts. | Contributions: Contributions Our main contributions are as follows: •We introduce a flexible and efficient framework (Algo- rithm 1) that uses the idea of batching for drift detection without labels – the flexible choice being the option to choose the statistical distance between batches of data. | Limitations: constraint that all sets need to be of equal sizes.
