"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access"
"Systematic Analysis of Infrastructure as Code Technologies","https://scispace.com/papers/systematic-analysis-of-infrastructure-as-code-technologies-3agbjvr6u3","2023","Journal Article","Gazi university journal of science part a:engineering and innovation","Erdal Özdoğan
Onur Ceran
Mutlu Tahsin Üstündağ","10.54287/gujsa.1373305","","No"
"GLITCH: Automated Polyglot Security Smell Detection in Infrastructure as Code","https://scispace.com/papers/glitch-automated-polyglot-security-smell-detection-in-3j01x3ij","2022","Proceedings Article","International Conference on Automated Software Engineering","Nuno Saavedra
João F. Ferreira","10.1145/3551349.3556945","","Yes"
"Analyzing Infrastructure as Code to Prevent Intra-update Sniping Vulnerabilities","https://scispace.com/papers/analyzing-infrastructure-as-code-to-prevent-intra-update-1ctwzprvru","2021","Book Chapter","Tools and Algorithms for Construction and Analysis of Systems","Julien Lepiller
Ruzica Piskac
Martin Schäf
Mark Santolucito","10.1007/978-3-030-72013-1_6","https://scispace.com/pdf/analyzing-infrastructure-as-code-to-prevent-intra-update-1ctwzprvru.pdf","Yes"
"Preliminary Investigation into a Security Approach for Infrastructure as Code","https://scispace.com/papers/preliminary-investigation-into-a-security-approach-for-2yqmb86ugq","2023","Book Chapter","","Ammar Zeini
Ruth Lennon
Patrick A. Lennon","10.1007/978-981-99-3091-3_63","","No"
"What Do Infrastructure-as-Code Practitioners Discuss: An Empirical Study on Stack Overflow","https://scispace.com/papers/what-do-infrastructure-as-code-practitioners-discuss-an-2zpxw4yhyx","2023","Journal Article","","Mahi Begoug
Narjess Bessghaier
Ali Ouni
Eman Abdullah AlOmar
Mohamed Wiem Mkaouer","10.1109/esem56168.2023.10304847","","No"
"Infrastructure as code: A paradigm shifts in cloud resource management and deployment automation","https://scispace.com/papers/infrastructure-as-code-a-paradigm-shifts-in-cloud-resource-j89640w0s6lx","2025","Journal Article","World Journal of Advanced Engineering Technology and Sciences","Ajay Varma Indukuri","10.30574/wjaets.2025.15.1.0478","","No"
"Cloud Infrastructure Self Service Delivery System using Infrastructure as Code","https://scispace.com/papers/cloud-infrastructure-self-service-delivery-system-using-1x78pd1s","2022","Proceedings Article","","Ankita Dalvi","10.1109/ICCCIS56430.2022.10037603","","No"
"Analysis of Software Tools for Automation of Configuration and Management Functions in It Infrastructures","https://scispace.com/papers/analysis-of-software-tools-for-automation-of-configuration-3bl3db9ijqcu","2024","Journal Article","Вісник Національного університету ""Львівська політехніка""","Mykola Orlov
Yurii Dmytriv","10.23939/sisn2024.15.370","","No"
"Change management and rollback strategies using IaC in CI/CD Pipelines","https://scispace.com/papers/change-management-and-rollback-strategies-using-iac-in-ci-cd-67z5xpq9lohc","2021","Journal Article","International Journal of Science and Research Archive","Yogeswara Reddy Avuthu","10.30574/ijsra.2021.2.1.0037","","No"
"The do’s and don’ts of infrastructure code: A systematic gray literature review","https://scispace.com/papers/the-do-s-and-don-ts-of-infrastructure-code-a-systematic-gray-3vwxxwdt9p","2021","Journal Article","Information & Software Technology","Indika Kumara
Martin Garriga
Angel Urbano Romeu
Dario Di Nucci
Fabio Palomba
Damian A. Tamburri
Willem-Jan van den Heuvel","10.1016/J.INFSOF.2021.106593","","Yes"
"GLITCH: an Intermediate-Representation-Based Security Analysis for Infrastructure as Code Scripts","https://scispace.com/papers/glitch-an-intermediate-representation-based-security-24z9ba10","","Journal Article","arXiv.org","Nuno Saavedra
João F. Ferreira","10.48550/arXiv.2205.14371","","No"
"Luke Hoban on Infrastructure as Code","https://scispace.com/papers/luke-hoban-on-infrastructure-as-code-23f8fiye","2022","Journal Article","IEEE Software","Jeff Doolittle","10.1109/ms.2021.3131919","","No"
"Managing configuration drift","https://scispace.com/papers/managing-configuration-drift-3u3sfu1kaj","2016","Patent","","Dongye Pan
Kishan Thomas","","","No"
"Immutable Infrastructure Calls for Immutable Architecture","https://scispace.com/papers/immutable-infrastructure-calls-for-immutable-architecture-jlipsguc1h","2019","Proceedings Article","Hawaii International Conference on System Sciences","Anders Mikkelsen
Tor-Morten Grønli
Rick Kazman","10.24251/HICSS.2019.846","https://scispace.com/pdf/immutable-infrastructure-calls-for-immutable-architecture-jlipsguc1h.pdf","Yes"
"Infrastructure as Code: Revolutionizing Cloud Management with Automation Orchestration","https://scispace.com/papers/infrastructure-as-code-revolutionizing-cloud-management-with-1nq024a4r5il","2025","Journal Article","International Scientific Journal of Engineering and Management","Santosh Pashikanti","10.55041/isjem01092","","No"
"Quality Assurance for Infrastructure Orchestrators: Emerging Results from Ansible","https://scispace.com/papers/quality-assurance-for-infrastructure-orchestrators-emerging-1z9wuk3s","2023","Journal Article","","Fan Wu
Akond Rahman","10.1109/ICSA-C57050.2023.00073","","No"
"The ‘as code’ activities: development anti-patterns for infrastructure as code","https://scispace.com/papers/the-as-code-activities-development-anti-patterns-for-1fsx9ik8r4","2020","Journal Article","Empirical Software Engineering","Akond Rahman
Effat Farhana
Laurie Williams","10.1007/S10664-020-09841-8","","Yes"
"Infrastructure-as-Code for Data-Intensive Architectures: A Model-Driven Development Approach","https://scispace.com/papers/infrastructure-as-code-for-data-intensive-architectures-a-4szlpdii9v","2018","Proceedings Article","","Matej Artac
Tadej Borovsak
Elisabetta Di Nitto
Michele Guerriero
Diego Perez-Palacin
Damian A. Tamburri","10.1109/ICSA.2018.00025","","No"
"A Survey of using Large Language Models for Generating Infrastructure as Code","https://scispace.com/papers/a-survey-of-using-large-language-models-for-generating-5fwbdmuowg","2024","Journal Article","arXiv.org","Kalahasti Ganesh Srivatsa
Sabyasachi Mukhopadhyay
Ganesh Katrapati
Manish Shrivastava","10.48550/arxiv.2404.00227","https://scispace.com/pdf/a-survey-of-using-large-language-models-for-generating-5fwbdmuowg.pdf","No"
"Streamlining Infrastructure as Code in Azure DevOps: Automation Strategies for Scalability","https://scispace.com/papers/streamlining-infrastructure-as-code-in-azure-devops-51lhk50hr9q7","2022","Journal Article","International journal of science and research","Satheesh Reddy Gopireddy","10.21275/sr22810111317","","No"
"Automation Tools for DevOps: Leveraging Ansible, Terraform, and Beyond","https://scispace.com/papers/automation-tools-for-devops-leveraging-ansible-terraform-and-5o38xj5igpd0","2025","Journal Article","International Scientific Journal of Engineering and Management","Surbhi Kanthed","10.55041/isjem01286","","No"
"PIACERE: Programming trustworthy Infrastructure As Code in a Secure Framework","https://scispace.com/papers/piacere-programming-trustworthy-infrastructure-as-code-in-a-414zdsvdvd","2021","","","Juncal Alonso
Christophe Joubert
Leire Orue-Echevarria
Matteo Pradella
Daniel Vladušič","","","Yes"
"Mastering Infrastructure as Code: Leveraging AWS Cloud Formation to Automate, Scale, and Secure Your Software Deployments","https://scispace.com/papers/mastering-infrastructure-as-code-leveraging-aws-cloud-4unqrrasft0b","2021","Journal Article","Indian Scientific Journal Of Research In Engineering And Management","Sai Krishna Chirumamilla","10.55041/ijsrem10434","","No"
"Infrastructure as Code: Historical Insights and Future Directions","https://scispace.com/papers/infrastructure-as-code-historical-insights-and-future-1eme1ohpvr2q","2023","Journal Article","International journal of science and research","Vijay Kartik Sikha
Dayakar Siramgari
Satyaveda Somepalli","10.21275/sr24820064820","","No"
"Bugs in Infrastructure as Code","https://scispace.com/papers/bugs-in-infrastructure-as-code-2i4rym29m6","2018","Posted Content","arXiv: Software Engineering","Akond Rahman
Sarah Elder
Faysal Hossain Shezan
Vanessa Frost
Jonathan Stallings
Laurie Williams","","https://arxiv.org/pdf/1809.07937.pdf","Yes"
"On the Effectiveness of Tools to Support Infrastructure as Code: Model-Driven Versus Code-Centric","https://scispace.com/papers/on-the-effectiveness-of-tools-to-support-infrastructure-as-39et69r222","2020","Journal Article","IEEE Access","Julio Sandobalin
Emilio Insfran
Silvia Abrahão","10.1109/ACCESS.2020.2966597","https://scispace.com/pdf/on-the-effectiveness-of-tools-to-support-infrastructure-as-39et69r222.pdf","Yes"
"The Implementation of Infrastructure as Code Template for Low-cost Cloud Infrastructure Operations","https://scispace.com/papers/the-implementation-of-infrastructure-as-code-template-for-632edykmmjdm","2024","Journal Article","East African journal of information technology","M. Santhosh Samuel
Okello Jimmy Obira
Sansa Keneth","10.37284/eajit.7.1.2538","","No"
"A Pilot Study of Testing Infrastructure as Code for Cloud Systems","https://scispace.com/papers/a-pilot-study-of-testing-infrastructure-as-code-for-cloud-3xkvnk4c48","2023","Proceedings Article","","Nabhan Suwanachote
Soratouch Pornmaneerattanatri
Yutaro Kashiwa
Kohei Ichikawa
Pattara Leelaprute
Arnon Rungsawang
Bundit Manaskasemsak
Hajimu Iida","10.1109/apsec60848.2023.00075","","No"
"State Reconciliation Defects in Infrastructure as Code","https://scispace.com/papers/state-reconciliation-defects-in-infrastructure-as-code-2wjrj4drla","2024","Journal Article","","Md Mahadi Hassan
John Salvador
Shubhra Kanti Karmaker
Akond Rahman","10.1145/3660790","","No"
"When Your Infrastructure Is a Buggy Program: Understanding Faults in Infrastructure as Code Ecosystems","https://scispace.com/papers/when-your-infrastructure-is-a-buggy-program-understanding-2dchxhfdiak6","2024","Journal Article","Proceedings of the ACM on programming languages","Georgios-Petros Drosos
Thodoris Sotiropoulos
Georgios Alexopoulos
Dimitris Mitropoulos
Zhendong Su","10.1145/3689799","","No"
"DOML: A New Modelling Approach to Infrastructure-as-Code","https://scispace.com/papers/doml-a-new-modelling-approach-to-infrastructure-as-code-15oil744","2023","Book Chapter","Lecture Notes in Computer Science","Michele Chiari
Bin Xiang
Galia Novakova Nedeltcheva
Elisabetta Di Nitto
Lorenzo Blasi","10.1007/978-3-031-34560-9_18","","Yes"
"A systematic mapping study of infrastructure as code research","https://scispace.com/papers/a-systematic-mapping-study-of-infrastructure-as-code-3mm0kc4tro","2019","Journal Article","Information & Software Technology","Akond Rahman
Rezvan Mahdavi-Hezaveh
Laurie Williams","10.1016/J.INFSOF.2018.12.004","https://arxiv.org/pdf/1807.04872.pdf","Yes"
"Co-evolution of infrastructure and source code: an empirical study","https://scispace.com/papers/co-evolution-of-infrastructure-and-source-code-an-empirical-ob1dqmqz4y","2015","Proceedings Article","Mining Software Repositories","Yujuan Jiang
Bram Adams","10.5555/2820518.2820527","","Yes"
"Automating Multi-Cloud Infrastructure: Leveraging Terraform and IaC for Scalable, Secure, and Efficient Cloud Management","https://scispace.com/papers/automating-multi-cloud-infrastructure-leveraging-terraform-82m50gseyjiy","2025","Journal Article","International journal of scientific research in computer science, engineering and information technology","P. Ravindran","10.32628/cseit25112704","","No"
"Policy-Driven Infrastructure Automation for Microservices: A Unified Framework Combining Infrastructure as Code and Policy as Code in Cloud-Native Environments","https://scispace.com/papers/policy-driven-infrastructure-automation-for-microservices-a-qb2g39pzueog","2022","Journal Article","Ibn Al-Haitham","Nagateja Alugunuri","10.71097/ijsat.v13.i3.5966","","No"
"Static Analysis of Infrastructure as Code: a Survey","https://scispace.com/papers/static-analysis-of-infrastructure-as-code-a-survey-1j1agdew","2022","Journal Article","","Michele Chiari
Michele De Pascalis
Matteo Pradella","10.1109/ICSA-C54293.2022.00049","","No"
"Categorizing Defects in Infrastructure as Code.","https://scispace.com/papers/categorizing-defects-in-infrastructure-as-code-37kg19atca","2018","Posted Content","arXiv: Software Engineering","Akond Rahman
Sarah Elder
Faysal Hossain Shezan
Vanessa Frost
Jonathan Stallings
Laurie Williams","","","Yes"
"DevOps: introducing infrastructure-as-code","https://scispace.com/papers/devops-introducing-infrastructure-as-code-2fn7h8erf3","2017","Proceedings Article","International Conference on Software Engineering","Matej Artac
Tadej Borovssak
Elisabetta Di Nitto
Michele Guerriero
Damian A. Tamburri","10.1109/ICSE-C.2017.162","","No"
"The PIPr Dataset of Public Infrastructure as Code Programs","https://scispace.com/papers/the-pipr-dataset-of-public-infrastructure-as-code-programs-1cj1lu92r4","2024","Journal Article","","Daniel Sokolowski
David Spielmann
Guido Salvaneschi","10.1145/3643991.3644888","","No"
"Within-Project Defect Prediction of Infrastructure-as-Code Using Product and Process Metrics","https://scispace.com/papers/within-project-defect-prediction-of-infrastructure-as-code-39tn896gzc","2021","Journal Article","IEEE Transactions on Software Engineering","Stefano Dalla Palma
Dario Di Nucci
Fabio Palomba
Damian A. Tamburri","10.1109/TSE.2021.3051492","https://scispace.com/pdf/within-project-defect-prediction-of-infrastructure-as-code-39tn896gzc.pdf","Yes"
"TerraMetrics: An Open Source Tool for Infrastructure-as-Code (IaC) Quality Metrics in Terraform","https://scispace.com/papers/terrametrics-an-open-source-tool-for-infrastructure-as-code-6o23qvcnqu","2024","Journal Article","","Mahi Begoug
Moataz Chouchen
Ali Ouni","10.1145/3643916.3644439","","No"
"Gang of eight: a defect taxonomy for infrastructure as code scripts","https://scispace.com/papers/gang-of-eight-a-defect-taxonomy-for-infrastructure-as-code-23hvo3uk7l","2020","Proceedings Article","International Conference on Software Engineering","Akond Rahman
Effat Farhana
Chris Parnin
Laurie Williams","10.1145/3377811.3380409","","No"
"Automation in Cloud Infrastructure Management: Enhancing Efficiency and Reliability","https://scispace.com/papers/automation-in-cloud-infrastructure-management-enhancing-3u4k0nujd5","2024","Journal Article","Indian Scientific Journal Of Research In Engineering And Management","Varshitha Bysani","10.55041/ijsrem35750","","No"
"Automating Infrastructure Deployment in DevOps: Evaluating Tools and Strategies for Scalability","https://scispace.com/papers/automating-infrastructure-deployment-in-devops-evaluating-te6bpg2u5doh","2020","Journal Article","International Journal of Leading Research Publication.","Vidyasagar Vangala -","10.70528/ijlrp.v1.i1.1716","","No"
"Strategies for managing hybrid cloud architectures with IaC: A practical framework","https://scispace.com/papers/strategies-for-managing-hybrid-cloud-architectures-with-iac-3s310yy2aemo","2025","Journal Article","International Journal of Science and Research Archive","Sridhar Nelloru","10.30574/ijsra.2025.14.1.0053","","No"
"Streamlining Multi-Cloud Infrastructure Orchestration: Leveraging Terraform as a Battle-Tested Solution","https://scispace.com/papers/streamlining-multi-cloud-infrastructure-orchestration-1l5j76vxtf","2024","Proceedings Article","","Aniruddha Ghosh
Sudhanshu Srivastava
P. Supraja","10.1109/icc-robins60238.2024.10533995","","No"
"Automated Infrastructure as Code Program Testing","https://scispace.com/papers/automated-infrastructure-as-code-program-testing-29gxo0g091","2024","Journal Article","IEEE Transactions on Software Engineering","Daniel Sokolowski
David Spielmann
Guido Salvaneschi","10.1109/tse.2024.3393070","","No"
"Provider-Agnostic Infrastructure As Code: A Modular Framework For Secure Multi-Tenant Cloud Automation","https://scispace.com/papers/provider-agnostic-infrastructure-as-code-a-modular-framework-epkpvwnrvx5w","2025","Journal Article","Journal of international crisis and risk communication research","Manoj Kumar Reddy Kalakoti","10.63278/jicrcr.vi.3257","https://scispace.com/pdf/provider-agnostic-infrastructure-as-code-a-modular-framework-epkpvwnrvx5w.pdf","No"
"Towards Reliable Infrastructure as Code","https://scispace.com/papers/towards-reliable-infrastructure-as-code-2dh0z2me","2023","Journal Article","","Daniel Sokolowski
Guido Salvaneschi","10.1109/ICSA-C57050.2023.00072","","No"
"Assessing Architecture Conformance to Coupling-Related Infrastructure-as-Code Best Practices: Metrics and Case Studies","https://scispace.com/papers/assessing-architecture-conformance-to-coupling-related-347fgt4n","2022","Book Chapter","European Conference on Software Architecture","Evangelos Ntentos
Uwe Zdun
Jacopo Soldani
Antonio Brogi","10.1007/978-3-031-16697-6_7","https://zenodo.org/record/6801247/files/paper.pdf","Yes"
"Anti-Patterns in Infrastructure as Code","https://scispace.com/papers/anti-patterns-in-infrastructure-as-code-1t3ad4o23b","2018","Proceedings Article","International Conference on Software Testing, Verification, and Validation","Akond Rahman","10.1109/ICST.2018.00057","https://scispace.com/pdf/anti-patterns-in-infrastructure-as-code-1t3ad4o23b.pdf","Yes"
"Infrastructure as Code","https://scispace.com/papers/infrastructure-as-code-2yslo2fk","2023","Journal Article","IEEE Software","Giovanni Quattrocchi
Damian A. Tamburri","10.1109/ms.2022.3212034","","Yes"
"Infrastructure as Code: Managing Servers in the Cloud","https://scispace.com/papers/infrastructure-as-code-managing-servers-in-the-cloud-40fvw4w5hp","2016","Book","","Kief Morris","","","Yes"
"Interpreting Infrastructure Automation for Cloud Service: A Focus on Identity and Access Management","https://scispace.com/papers/interpreting-infrastructure-automation-for-cloud-service-a-1cfytedlavji","2024","Journal Article","International Journal For Multidisciplinary Research","Kiran Kumar Suram","10.36948/ijfmr.2024.v06i06.34088","","No"
"Assessing Architecture Conformance to Security-Related Practices in Infrastructure as Code Based Deployments","https://scispace.com/papers/assessing-architecture-conformance-to-security-related-3d9qcesv","2022","Proceedings Article","IEEE International Conference on Services Computing","Evangelos Ntentos
Uwe Zdun
Ghareeb Falazi
Uwe Breitenbücher
Frank Leymann","10.1109/SCC55611.2022.00029","","No"
"An Approach to Identifying Error Patterns for Infrastructure as Code","https://scispace.com/papers/an-approach-to-identifying-error-patterns-for-infrastructure-ef9uahf9ue","2018","Proceedings Article","International Symposium on Software Reliability Engineering","Wei Chen
Guoquan Wu
Jun Wei","10.1109/ISSREW.2018.00-19","","No"
"Testing practices for infrastructure as code","https://scispace.com/papers/testing-practices-for-infrastructure-as-code-44zn79831f","2020","Proceedings Article","","Mohammed Mehedi Hasan
Farzana Ahamed Bhuiyan
Akond Rahman","10.1145/3416504.3424334","","No"
"PIACERE project: description and prototype for optimizing infrastructure as code deployment configurations","https://scispace.com/papers/piacere-project-description-and-prototype-for-optimizing-3d7juox3","2022","Proceedings Article","Proceedings of the Genetic and Evolutionary Computation Conference Companion","Eneko Osaba
Josu Díaz-de-Arcaya
Leire Orúe Echevarría Arrieta
Juncal Alonso
Jesus L. Lobo
Gorka Benguria
Iñaki Etxaniz","10.1145/3520304.3533938","","No"
"Automation in Cloud-Based DevOps: A Guide to CI/CD Pipelines and Infrastructure as Code (IaC) with Terraform and Jenkins","https://scispace.com/papers/automation-in-cloud-based-devops-a-guide-to-ci-cd-pipelines-4r9yvv45w1qc","2024","Journal Article","World Journal of Advanced Engineering Technology and Sciences","Taiwo Joseph Akinbolaji
Godwin Nzeako
David Akokodaripon
Akorede Victor Aderoju","10.30574/wjaets.2024.13.2.0542","","No"
"Terraformization: Revolutionizing Enterprise IT Strategy","https://scispace.com/papers/terraformization-revolutionizing-enterprise-it-strategy-cv714mshvh5n","2025","Journal Article","Global Journal of Engineering and Technology Advances","Dharmendra Ahuja","10.30574/gjeta.2025.23.1.0120","","No"
"On the Prevalence, Co-occurrence, and Impact of Infrastructure-as-Code Smells","https://scispace.com/papers/on-the-prevalence-co-occurrence-and-impact-of-infrastructure-1rf9zp74hg","2024","Journal Article","","Narjes Bessghaier
Mahi Begoug
Chemseddine Mebarki
Ali Ouni
Mohammed Sayagh
Mohamed Wiem Mkaouer","10.1109/saner60148.2024.00009","","No"
"Embracing IaC Through the DevSecOps Philosophy: Concepts, Challenges, and a Reference Framework","https://scispace.com/papers/embracing-iac-through-the-devsecops-philosophy-concepts-3s4k96zu","2023","Journal Article","IEEE Software","Juncal Alonso
Radoslaw Piliszek
Matic Cankar","10.1109/MS.2022.3212194","https://ieeexplore.ieee.org/ielx7/52/5204063/09915031.pdf","No"
"SoK: Static Configuration Analysis in Infrastructure as Code Scripts","https://scispace.com/papers/sok-static-configuration-analysis-in-infrastructure-as-code-1r7w1ccwcl","2023","Journal Article","","Pandu Ranga Reddy Konala
Vimal Kumar
David Bainbridge","10.1109/csr57506.2023.10224925","","No"
"Developing a New DevOps Modelling Language to Support the Creation of Infrastructure as Code","https://scispace.com/papers/developing-a-new-devops-modelling-language-to-support-the-vh7bf9rz","2022","Book Chapter","","Michele Chiari
Elisabetta Di Nitto
Adrián Noguero Mucientes
Bin Xiang","10.1007/978-3-031-23298-5_8","https://zenodo.org/record/6697369/files/ESOCCProjectTrack.pdf","Yes"
"Characteristics of defective infrastructure as code scripts in DevOps","https://scispace.com/papers/characteristics-of-defective-infrastructure-as-code-scripts-1t6le9ryi0","2018","Proceedings Article","International Conference on Software Engineering","Akond Rahman","10.1145/3183440.3183452","","No"
"Scaling devops with infrastructure as code in multi- cloud environments","https://scispace.com/papers/scaling-devops-with-infrastructure-as-code-in-multi-cloud-hfm39kn56g5m","2022","Journal Article","Turkish Journal of Computer and Mathematics Education","V. Gunnam
N. Kilaru
Sai Krishna Manohar Cheemakurthi","10.61841/turcomat.v13i2.14764","","No"
"Automated Disaster Recovery Infrastructure for HIPAA-Regulated Healthcare Systems: A Cloud-Native Implementation Using Infrastructure as Code","https://scispace.com/papers/automated-disaster-recovery-infrastructure-for-hipaa-pewr4iyy2qsn","2025","Journal Article","International journal of computational and experimental science and engineering","Manoj Kumar Reddy Kalakoti","10.22399/ijcesen.3928","","No"
"Lessons from Research to Practice on Writing Better Quality Puppet Scripts","https://scispace.com/papers/lessons-from-research-to-practice-on-writing-better-quality-1jvvqcqy","2022","Proceedings Article","2022 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)","Akond Rahman
Tushar Sharma","10.1109/saner53432.2022.00019","","No"
"Automating Infrastructure Management: Benefits and Challenges of Ansible and Terraform Implementation Across Sectors","https://scispace.com/papers/automating-infrastructure-management-benefits-and-challenges-4h93llhf1f4g","2024","Journal Article","International journal of scientific research in computer science, engineering and information technology","Avinash Pathak","10.32628/cseit241051032","","No"
"Policy-Driven Infrastructure Validation for Network Modernization","https://scispace.com/papers/policy-driven-infrastructure-validation-for-network-1t51pmgjj3l6","2025","Journal Article","International journal of computational and experimental science and engineering","Prasanth Kosaraju","10.22399/ijcesen.3808","","No"
"Architecting Multi-Cloud Immutable Infrastructure Workflows: Beyond Traditional CI/CD","https://scispace.com/papers/architecting-multi-cloud-immutable-infrastructure-workflows-50g60gs72law","2025","Journal Article","International journal of scientific research in computer science, engineering and information technology","Sridhar Nelloru","10.32628/cseit25111221","","No"
"Enhancing Efficiency Through Infrastructure Automation: An In-Depth Analysis of Infrastructure as Code (IaC) Tools","https://scispace.com/papers/enhancing-efficiency-through-infrastructure-automation-an-in-1dvqut8mtx","2023","Proceedings Article","","Milandeep Kour Bali
Ranjan Walia","10.1109/icccis60361.2023.10425162","","No"
